holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-15
VANGUARD GROUP INC,17159155,2025-09-30,-124433
"BlackRock, Inc.",12163335,2025-09-30,-35954
STATE STREET CORP,7311113,2025-09-30,10300
"GEODE CAPITAL MANAGEMENT, LLC",3688020,2025-09-30,43840
Capital Research Global Investors,3613095,2025-09-30,8483
MORGAN STANLEY,3465423,2025-09-30,341125
PRICE T ROWE ASSOCIATES INC /MD/,3324290,2025-09-30,-3591875
NORDEA INVESTMENT MANAGEMENT AB,2340480,2025-09-30,252108
"Holocene Advisors, LP",2305675,2025-09-30,-200408
DIMENSIONAL FUND ADVISORS LP,2229282,2025-09-30,-225260
VICTORY CAPITAL MANAGEMENT INC,2157198,2025-09-30,28
ROYAL LONDON ASSET MANAGEMENT LTD,2001056,2025-09-30,212206
Robeco Institutional Asset Management B.V.,1936077,2025-09-30,260104
Invesco Ltd.,1848713,2025-09-30,-2500
NORTHERN TRUST CORP,1675192,2025-09-30,3804
UBS ASSET MANAGEMENT AMERICAS INC,1618713,2025-09-30,-376580
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1434839,2025-09-30,23856
FIL Ltd,1414506,2025-09-30,333340
FMR LLC,1300499,2025-09-30,168415
THRIVENT FINANCIAL FOR LUTHERANS,1290988,2025-09-30,-112582
"LORD, ABBETT & CO. LLC",1272894,2025-09-30,79501
JPMORGAN CHASE & CO,1059260,2025-09-30,-558780
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,1046791,2025-09-30,10537
DEUTSCHE BANK AG\,1026370,2025-09-30,56753
BANK OF AMERICA CORP /DE/,1002920,2025-09-30,-26027
GOLDMAN SACHS GROUP INC,990674,2025-09-30,-415268
LSV ASSET MANAGEMENT,972485,2025-09-30,-3565
"Nuveen, LLC",947409,2025-09-30,384132
Bank of New York Mellon Corp,867575,2025-09-30,-126305
Legal & General Group Plc,827353,2025-09-30,-59581
Boston Partners,723588,2025-09-30,723588
HSBC HOLDINGS PLC,535620,2025-09-30,156332
AMERIPRISE FINANCIAL INC,522946,2025-09-30,-224437
STIFEL FINANCIAL CORP,507727,2025-09-30,-45305
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,493290,2025-09-30,283300
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",492984,2025-09-30,209246
BARCLAYS PLC,450498,2025-09-30,-12261
UBS Group AG,439337,2025-09-30,138050
ALLIANCEBERNSTEIN L.P.,421704,2025-09-30,-35336
Swiss National Bank,406600,2025-09-30,-24500
AQR CAPITAL MANAGEMENT LLC,403185,2025-09-30,-224357
Man Group plc,396768,2025-09-30,125120
Allianz Asset Management GmbH,379115,2025-09-30,102479
"Sumitomo Mitsui Trust Holdings, Inc.",338229,2025-09-30,4430
SAPIENT CAPITAL LLC,332570,2025-09-30,0
"Point72 Asset Management, L.P.",328774,2025-09-30,328774
Neuberger Berman Group LLC,322910,2025-09-30,233559
BANK OF MONTREAL /CAN/,308038,2025-09-30,22588
ROYAL BANK OF CANADA,305091,2025-09-30,107945
"BNP PARIBAS ARBITRAGE, SNC",294176,2025-09-30,70866
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,281718,2025-09-30,-2485
RHUMBLINE ADVISERS,281478,2025-09-30,-16583
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",278017,2025-09-30,13506
Schonfeld Strategic Advisors LLC,274861,2025-09-30,270473
AEGON ASSET MANAGEMENT UK PLC,269535,2025-09-30,5522
Amundi,259013,2025-09-30,-67922
DANSKE BANK A/S,256343,2025-09-30,-196699
SCHRODER INVESTMENT MANAGEMENT GROUP,249142,2025-09-30,18226
MACQUARIE GROUP LTD,248787,2025-09-30,78056
Swedbank AB,233343,2025-09-30,10307
"ADAGE CAPITAL PARTNERS GP, L.L.C.",231000,2025-09-30,-500
ENVESTNET ASSET MANAGEMENT INC,223581,2025-09-30,13951
"Ensign Peak Advisors, Inc",210018,2025-09-30,-3622
Mediolanum International Funds Ltd,206140,2025-09-30,125981
Qube Research & Technologies Ltd,200716,2025-09-30,-180084
GREAT WEST LIFE ASSURANCE CO /CAN/,194973,2025-09-30,-6927
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC",189938,2025-09-30,0
"Merewether Investment Management, LP",189800,2025-09-30,189800
FIRST TRUST ADVISORS LP,187782,2025-09-30,-178520
"Concentric Capital Strategies, LP",174630,2025-09-30,174630
BALYASNY ASSET MANAGEMENT L.P.,171513,2025-09-30,-105994
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,169682,2025-09-30,-3394
RAYMOND JAMES FINANCIAL INC,168961,2025-09-30,-14884
WINMILL & CO. INC,168747,2025-09-30,0
"Baird Financial Group, Inc.",168571,2025-09-30,-6179
"Brandywine Global Investment Management, LLC",166467,2025-09-30,-9712
Hosking Partners LLP,164027,2025-09-30,59
PRINCIPAL FINANCIAL GROUP INC,162762,2025-09-30,7671
WELLS FARGO & COMPANY/MN,159212,2025-09-30,15639
"Grantham, Mayo, Van Otterloo & Co. LLC",154739,2025-09-30,6460
BI Asset Management Fondsmaeglerselskab A/S,151350,2025-09-30,7031
STRS OHIO,143359,2025-09-30,-21734
DekaBank Deutsche Girozentrale,142906,2025-09-30,0
abrdn plc,142851,2025-09-30,-22971
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,139917,2025-09-30,-19481
CITIGROUP INC,138090,2025-09-30,-28139
"Russell Investments Group, Ltd.",127910,2025-09-30,-15862
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",126668,2025-09-30,-70091
Mitsubishi UFJ Trust & Banking Corp,125933,2025-09-30,-37466
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,121228,2025-09-30,-833
Ninety One UK Ltd,119863,2025-09-30,30102
