holder,shares,dateReported,change
VANGUARD GROUP INC,52008709,2025-09-30,-99049
"BlackRock, Inc.",36548498,2025-09-30,697529
DODGE & COX,27517311,2025-09-30,3949361
Capital Research Global Investors,24972556,2025-09-30,4998154
STATE STREET CORP,19647745,2025-09-30,-12997
"GEODE CAPITAL MANAGEMENT, LLC",12075344,2025-09-30,130937
HARRIS ASSOCIATES L P,11021328,2025-09-30,1348895
HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,8432374,2025-09-30,1232828
MORGAN STANLEY,7475297,2025-09-30,-334202
Invesco Ltd.,6891144,2025-09-30,-1022807
JPMORGAN CHASE & CO,5572597,2025-09-30,892456
DIMENSIONAL FUND ADVISORS LP,5362717,2025-09-30,438439
BANK OF AMERICA CORP /DE/,5220856,2025-09-30,1058853
VAN ECK ASSOCIATES CORP,4497827,2025-09-30,139404
ALLIANCEBERNSTEIN L.P.,4303149,2025-09-30,-869244
NORTHERN TRUST CORP,4221460,2025-09-30,-22757
Boston Partners,3828936,2025-09-30,3828936
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",3722918,2025-09-30,2774403
"Holocene Advisors, LP",3717921,2025-09-30,-309431
CANADA PENSION PLAN INVESTMENT BOARD,3660395,2025-09-30,409778
GOLDMAN SACHS GROUP INC,3221809,2025-09-30,69705
MIZUHO MARKETS AMERICAS LLC,3209000,2025-09-30,600000
Bank of New York Mellon Corp,3194405,2025-09-30,-62766
AMERICAN CENTURY COMPANIES INC,3009077,2025-09-30,555568
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2985641,2025-09-30,-52883
Legal & General Group Plc,2900935,2025-09-30,192818
FMR LLC,2779897,2025-09-30,26405
Amundi,2542776,2025-09-30,585612
UBS ASSET MANAGEMENT AMERICAS INC,2541969,2025-09-30,-466570
"LOCUST WOOD CAPITAL ADVISERS, LLC",2084337,2025-09-30,137992
"D. E. Shaw & Co., Inc.",2071951,2025-09-30,220279
PRICE T ROWE ASSOCIATES INC /MD/,2059680,2025-09-30,4226
CITADEL ADVISORS LLC,2039349,2025-09-30,-7260580
"River Road Asset Management, LLC",1955250,2025-09-30,706948
UBS Group AG,1790118,2025-09-30,-1215260
BARCLAYS PLC,1753314,2025-09-30,164821
MENORA MIVTACHIM HOLDINGS LTD.,1715250,2025-09-30,625000
DEUTSCHE BANK AG\,1597176,2025-09-30,-508680
JENNISON ASSOCIATES LLC,1474947,2025-09-30,780471
ROYAL BANK OF CANADA,1397633,2025-09-30,228540
WELLS FARGO & COMPANY/MN,1367967,2025-09-30,130666
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1356078,2025-09-30,-17063
Temasek Holdings (Private) Ltd,1330515,2025-09-30,1330515
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,1329153,2025-09-30,0
Swiss National Bank,1319887,2025-09-30,-66100
"Sumitomo Mitsui Trust Holdings, Inc.",1222704,2025-09-30,20307
"T. Rowe Price Investment Management, Inc.",1221059,2025-09-30,46894
RAYMOND JAMES FINANCIAL INC,1194002,2025-09-30,174342
Waverton Investment Management Ltd,1086668,2025-09-30,29897
"Alyeska Investment Group, L.P.",1084551,2025-09-30,522059
"JACOBS LEVY EQUITY MANAGEMENT, INC",1046395,2025-09-30,-45607
HOMESTEAD ADVISERS CORP,1025700,2025-09-30,33900
D1 Capital Partners L.P.,994584,2025-09-30,-165000
SOUND SHORE MANAGEMENT INC /CT/,980756,2025-09-30,125062
"BNP PARIBAS ARBITRAGE, SNC",970013,2025-09-30,-400138
"Nuveen, LLC",969429,2025-09-30,-51443
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",953383,2025-09-30,43434
FIRST TRUST ADVISORS LP,932168,2025-09-30,102847
HSBC HOLDINGS PLC,916935,2025-09-30,160832
KEYBANK NATIONAL ASSOCIATION/OH,905518,2025-09-30,-32328
"Stonegate Investment Group, LLC",875796,2025-09-30,-105146
Freestone Grove Partners LP,867709,2025-09-30,17557
AQR CAPITAL MANAGEMENT LLC,864732,2025-09-30,707810
VICTORY CAPITAL MANAGEMENT INC,833584,2025-09-30,-8315
"Colony Group, LLC",824213,2025-09-30,46522
"ARMISTICE CAPITAL, LLC",795053,2025-09-30,38772
RHUMBLINE ADVISERS,779121,2025-09-30,-10055
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,774602,2025-09-30,34269
FIL Ltd,762449,2025-09-30,336877
Ilex Capital Partners (UK) LLP,754477,2025-09-30,150375
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,750465,2025-09-30,8466
National Pension Service,725983,2025-09-30,31671
SILVERCREST ASSET MANAGEMENT GROUP LLC,725526,2025-09-30,54540
Employees Retirement System of Texas,695000,2025-09-30,695000
ANCHOR CAPITAL ADVISORS LLC,693307,2025-09-30,61100
TCW GROUP INC,665215,2025-09-30,-77412
"Russell Investments Group, Ltd.",627105,2025-09-30,278097
COOPERMAN LEON G,600000,2025-09-30,200000
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,593450,2025-09-30,46097
ProShare Advisors LLC,593442,2025-09-30,-131414
CITIGROUP INC,592923,2025-09-30,-268154
"NATIXIS ADVISORS, L.P.",568481,2025-09-30,101167
PRINCIPAL FINANCIAL GROUP INC,542699,2025-09-30,-247358
"Susquehanna Portfolio Strategies, LLC",529393,2025-09-30,481593
FRANKLIN RESOURCES INC,488448,2025-09-30,17544
TODD ASSET MANAGEMENT LLC,478961,2025-09-30,85163
BANK OF MONTREAL /CAN/,477306,2025-09-30,-134120
Bellevue Group AG,463063,2025-09-30,-52405
"Douglas Lane & Associates, LLC",440681,2025-09-30,-6427
LAZARD ASSET MANAGEMENT LLC,435711,2025-09-30,86034
"Nippon Life Global Investors Americas, Inc.",426950,2025-09-30,25310
LPL Financial LLC,426266,2025-09-30,-15280
Universal- Beteiligungs- und Servicegesellschaft mbH,410634,2025-09-30,17335
STRS OHIO,407945,2025-09-30,22005
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,402416,2025-09-30,-20534
"RTW INVESTMENTS, LP",393500,2025-09-30,-232500
"HighTower Advisors, LLC",392674,2025-09-30,254756
FRONTIER CAPITAL MANAGEMENT CO LLC,379468,2025-09-30,22514
TD ASSET MANAGEMENT INC,377043,2025-09-30,14675
Cerity Partners LLC,373570,2025-09-30,64017
Rathbones Group PLC,370099,2025-09-30,63669
TD Waterhouse Canada Inc.,368982,2025-09-30,-133663
AVIVA PLC,361938,2025-09-30,21271
STIFEL FINANCIAL CORP,358142,2025-09-30,-2192
WEDGE CAPITAL MANAGEMENT L L P/NC,357638,2025-09-30,357638
Auto-Owners Insurance Co,353051,2025-09-30,0
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,352124,2025-09-30,58000
Korea Investment CORP,347167,2025-09-30,37666
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,343227,2025-09-30,-154
ENVESTNET ASSET MANAGEMENT INC,338914,2025-09-30,46231
