holder,shares,dateReported,change
VANGUARD GROUP INC,51187504,2025-09-30,-361473
"BlackRock, Inc.",43851199,2025-09-30,-3071723
Capital World Investors,37289711,2025-09-30,614181
Invesco Ltd.,24064513,2025-09-30,393158
STATE STREET CORP,22969833,2025-09-30,-298721
"GEODE CAPITAL MANAGEMENT, LLC",11328878,2025-09-30,67360
MORGAN STANLEY,10919196,2025-09-30,125669
HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,7406935,2025-09-30,-1116780
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,6840904,2025-09-30,-85050
"FULLER & THALER ASSET MANAGEMENT, INC.",6798187,2025-09-30,-3993951
NORDEA INVESTMENT MANAGEMENT AB,6715372,2025-09-30,315467
LSV ASSET MANAGEMENT,6375260,2025-09-30,-187531
Capital International Investors,6047378,2025-09-30,138688
Ninety One UK Ltd,5811616,2025-09-30,5811616
ROYAL BANK OF CANADA,5178755,2025-09-30,-267655
AQR CAPITAL MANAGEMENT LLC,4923509,2025-09-30,-1155730
DIMENSIONAL FUND ADVISORS LP,4812101,2025-09-30,-62898
WELLINGTON MANAGEMENT GROUP LLP,4738287,2025-09-30,99684
NORTHERN TRUST CORP,4594789,2025-09-30,-56210
GOLDMAN SACHS GROUP INC,4403124,2025-09-30,-585429
BANK OF AMERICA CORP /DE/,3983159,2025-09-30,-966878
UBS ASSET MANAGEMENT AMERICAS INC,3355609,2025-09-30,-1017257
Bank of New York Mellon Corp,3288013,2025-09-30,-36120
Legal & General Group Plc,2821237,2025-09-30,27882
UBS Group AG,2536030,2025-09-30,196743
FMR LLC,2516110,2025-09-30,34595
VICTORY CAPITAL MANAGEMENT INC,2498786,2025-09-30,219999
DEUTSCHE BANK AG\,2343227,2025-09-30,681877
"HoldCo Asset Management, LP",2086288,2025-09-30,0
Zurich Insurance Group Ltd/FI,2082961,2025-09-30,1594326
Swedbank AB,1905704,2025-09-30,553246
JPMORGAN CHASE & CO,1806646,2025-09-30,-1297626
HSBC HOLDINGS PLC,1805546,2025-09-30,-667842
LOS ANGELES CAPITAL MANAGEMENT LLC,1787234,2025-09-30,1566239
"ASSETMARK, INC",1671784,2025-09-30,-18670
"Alyeska Investment Group, L.P.",1639831,2025-09-30,1639831
RAYMOND JAMES FINANCIAL INC,1624891,2025-09-30,339306
BANK OF MONTREAL /CAN/,1507365,2025-09-30,-1087980
Amundi,1486133,2025-09-30,-1413984
FIRST TRUST ADVISORS LP,1327479,2025-09-30,-186779
"Prana Capital Management, LP",1311675,2025-09-30,-204007
"Shellback Capital, LP",1310640,2025-09-30,1310640
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",1306635,2025-09-30,229331
BALYASNY ASSET MANAGEMENT L.P.,1281638,2025-09-30,-311149
AEGON ASSET MANAGEMENT UK PLC,1190155,2025-09-30,15872
WELLS FARGO & COMPANY/MN,1176929,2025-09-30,500634
"Russell Investments Group, Ltd.",1140748,2025-09-30,10035
"Synergy Asset Management, LLC",1136841,2025-09-30,1136841
CAUSEWAY CAPITAL MANAGEMENT LLC,1090060,2025-09-30,57086
"Sumitomo Mitsui Trust Holdings, Inc.",1082586,2025-09-30,68815
BRUNI J V & CO /CO,987605,2025-09-30,-9465
BARCLAYS PLC,986469,2025-09-30,-1143468
"D. E. Shaw & Co., Inc.",985229,2025-09-30,503376
"Point72 Asset Management, L.P.",950250,2025-09-30,132708
"GW&K Investment Management, LLC",941172,2025-09-30,-9028
Artemis Investment Management LLP,939980,2025-09-30,939980
SEI INVESTMENTS CO,929157,2025-09-30,140978
"MARSHALL WACE, LLP",906717,2025-09-30,-601474
Algebris (UK) Ltd,901631,2025-09-30,-217472
TODD ASSET MANAGEMENT LLC,896736,2025-09-30,62398
"Nuveen, LLC",877437,2025-09-30,-121233
"BNP PARIBAS ARBITRAGE, SNC",875010,2025-09-30,-67850
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",874192,2025-09-30,17988
RHUMBLINE ADVISERS,858009,2025-09-30,-18958
"Bridgewater Associates, LP",843625,2025-09-30,427491
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,763826,2025-09-30,6029
Junto Capital Management LP,762065,2025-09-30,762065
Quantinno Capital Management LP,751264,2025-09-30,251794
Mitsubishi UFJ Trust & Banking Corp,732030,2025-09-30,6221
"NATIXIS ADVISORS, L.P.",712147,2025-09-30,101534
ENVESTNET ASSET MANAGEMENT INC,687602,2025-09-30,140641
FRANKLIN RESOURCES INC,636242,2025-09-30,-155654
PRICE T ROWE ASSOCIATES INC /MD/,636147,2025-09-30,-2575
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",629954,2025-09-30,-189145
Korea Investment CORP,625400,2025-09-30,475390
"Capital International, Inc./CA/",606182,2025-09-30,138139
ZACKS INVESTMENT MANAGEMENT,604187,2025-09-30,945
Appaloosa LP,600000,2025-09-30,600000
Assenagon Asset Management S.A.,598787,2025-09-30,-441932
"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",597537,2025-09-30,-28733
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,591634,2025-09-30,43000
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,577788,2025-09-30,-36453
CITIGROUP INC,565589,2025-09-30,-78259
Vinva Investment Management Ltd,563386,2025-09-30,90622
ALLIANCEBERNSTEIN L.P.,547929,2025-09-30,-131030
Allianz Asset Management GmbH,538330,2025-09-30,-34429
"FEDERATED HERMES, INC.",531826,2025-09-30,1297
AMERIPRISE FINANCIAL INC,525981,2025-09-30,-192431
SCHRODER INVESTMENT MANAGEMENT GROUP,524107,2025-09-30,-16962
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,517848,2025-09-30,398677
PRINCIPAL FINANCIAL GROUP INC,511309,2025-09-30,-6432
Freestone Grove Partners LP,509137,2025-09-30,-583197
HALLMARK CAPITAL MANAGEMENT INC,497523,2025-09-30,-10848
"Interval Partners, LP",489979,2025-09-30,-4003
"Allspring Global Investments Holdings, LLC",479415,2025-09-30,129995
Ceredex Value Advisors LLC,477500,2025-09-30,477500
LPL Financial LLC,463718,2025-09-30,54033
Man Group plc,456846,2025-09-30,-40933
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,450547,2025-09-30,-4566
STRS OHIO,448401,2025-09-30,-130423
"Klingman & Associates, LLC",447137,2025-09-30,56
Point72 Europe (London) LLP,434320,2025-09-30,434320
Soapstone Management L.P.,425000,2025-09-30,-150000
AE Wealth Management LLC,416930,2025-09-30,-10733
"PineBridge Investments, L.P.",405407,2025-09-30,-67372
CITIZENS FINANCIAL GROUP INC/RI,397212,2025-09-30,-30853
GREAT WEST LIFE ASSURANCE CO /CAN/,396270,2025-09-30,-297714
FRONTIER CAPITAL MANAGEMENT CO LLC,391831,2025-09-30,22430
KORNITZER CAPITAL MANAGEMENT INC /KS,383714,2025-09-30,-12920
APG Asset Management N.V.,382130,2025-09-30,-2000
CITADEL ADVISORS LLC,380867,2025-09-30,374513
Universal- Beteiligungs- und Servicegesellschaft mbH,377737,2025-09-30,-33857
"Stieven Capital Advisors, L.P.",376080,2025-09-30,600
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,365834,2025-09-30,-1604
"Rafferty Asset Management, LLC",355396,2025-09-30,-56588
NEW YORK STATE COMMON RETIREMENT FUND,350743,2025-09-30,-9400
AVIVA PLC,344719,2025-09-30,16115
Impax Asset Management Group plc,338104,2025-09-30,-36102
"rhino investment partners, Inc",326035,2025-09-30,-91917
"Sound Income Strategies, LLC",323329,2025-09-30,-11724
NATIONAL BANK OF CANADA /FI/,321959,2025-09-30,-140849
abrdn plc,320843,2025-09-30,-11217
TORONTO DOMINION BANK,320453,2025-09-30,97535
Capitolis Liquid Global Markets LLC,319000,2025-09-30,319000
MILLENNIUM MANAGEMENT LLC,311521,2025-09-30,-1049646
STATE OF WISCONSIN INVESTMENT BOARD,309523,2025-09-30,4260
STIFEL FINANCIAL CORP,300972,2025-09-30,43160
Achmea Investment Management B.V.,298634,2025-09-30,0
Pictet Asset Management Holding SA,294737,2025-09-30,9707
Hosking Partners LLP,288128,2025-09-30,-5273
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,280376,2025-09-30,53
"SRS Capital Advisors, Inc.",280337,2025-09-30,273625
"IEQ CAPITAL, LLC",279104,2025-09-30,70581
STRATEGIC VALUE BANK PARTNERS LLC,275500,2025-09-30,0
DekaBank Deutsche Girozentrale,275006,2025-09-30,0
DANSKE BANK A/S,264383,2025-09-30,-62403
"ADVISOR GROUP HOLDINGS, INC.",263315,2025-09-30,44225
Creative Planning,257886,2025-09-30,33396
VOYA INVESTMENT MANAGEMENT LLC,248668,2025-09-30,57622
PRUDENTIAL FINANCIAL INC,245231,2025-09-30,-6121
Cinctive Capital Management LP,239568,2025-09-30,-294682
"ExodusPoint Capital Management, LP",239555,2025-09-30,239555
"BOKF, NA",232090,2025-09-30,1545
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",231152,2025-09-30,111453
AustralianSuper Pty Ltd,227763,2025-09-30,-2556257
"Brandywine Global Investment Management, LLC",221895,2025-09-30,171
"Baird Financial Group, Inc.",220928,2025-09-30,-2075
"Chevy Chase Trust Holdings, LLC",220138,2025-09-30,-8913
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",212514,2025-09-30,-515
