holder,shares,dateReported,change
VANGUARD GROUP INC,13291679,2025-09-30,162638
"BlackRock, Inc.",10816667,2025-09-30,-122286
STATE STREET CORP,6261226,2025-09-30,11446
JPMORGAN CHASE & CO,2875355,2025-09-30,589367
FMR LLC,2663873,2025-09-30,299274
"GEODE CAPITAL MANAGEMENT, LLC",2542447,2025-09-30,34227
"COHEN & STEERS, INC.",2115870,2025-09-30,-117272
PRINCIPAL FINANCIAL GROUP INC,1969498,2025-09-30,56592
PRICE T ROWE ASSOCIATES INC /MD/,1527546,2025-09-30,59353
NORTHERN TRUST CORP,1490892,2025-09-30,-8373
GOLDMAN SACHS GROUP INC,1293834,2025-09-30,387849
DIMENSIONAL FUND ADVISORS LP,1223028,2025-09-30,-120468
APG Asset Management US Inc.,1211357,2025-09-30,5109
UBS ASSET MANAGEMENT AMERICAS INC,1186497,2025-09-30,953001
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1185176,2025-09-30,118482
CANADA PENSION PLAN INVESTMENT BOARD,1179832,2025-09-30,77409
Legal & General Group Plc,1118573,2025-09-30,-32886
MORGAN STANLEY,942575,2025-09-30,-20620
CENTERSQUARE INVESTMENT MANAGEMENT LLC,885960,2025-09-30,-12901
DEUTSCHE BANK AG\,841844,2025-09-30,-135323
AMERIPRISE FINANCIAL INC,815744,2025-09-30,119988
"Nuveen, LLC",777073,2025-09-30,-54555
Pictet Asset Management Holding SA,763115,2025-09-30,-185314
Amundi,745011,2025-09-30,-349857
"Clearbridge Investments, LLC",728171,2025-09-30,29565
BANK OF AMERICA CORP /DE/,725397,2025-09-30,26445
Invesco Ltd.,697483,2025-09-30,-150671
WELLINGTON MANAGEMENT GROUP LLP,626372,2025-09-30,-236029
Resolution Capital Ltd,600852,2025-09-30,14550
Bank of New York Mellon Corp,591393,2025-09-30,-30644
Capital Research Global Investors,577518,2025-09-30,10947
CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,554879,2025-09-30,69341
"Sumitomo Mitsui Trust Holdings, Inc.",544462,2025-09-30,7409
UBS Group AG,518128,2025-09-30,26281
"Russell Investments Group, Ltd.",484094,2025-09-30,12481
NORDEA INVESTMENT MANAGEMENT AB,483483,2025-09-30,32790
Daiwa Securities Group Inc.,476169,2025-09-30,-3718
NATIONAL BANK OF CANADA /FI/,454467,2025-09-30,-43864
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,444971,2025-09-30,44843
DUFF & PHELPS INVESTMENT MANAGEMENT CO,436765,2025-09-30,29005
HSBC HOLDINGS PLC,419376,2025-09-30,35078
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,390066,2025-09-30,32294
PGGM Investments,372032,2025-09-30,0
MACQUARIE GROUP LTD,364593,2025-09-30,-274265
ROYAL BANK OF CANADA,332481,2025-09-30,71392
LASALLE INVESTMENT MANAGEMENT SECURITIES LLC,324851,2025-09-30,26973
M&G Plc,324746,2025-09-30,2221
PRUDENTIAL FINANCIAL INC,314140,2025-09-30,-111801
BARCLAYS PLC,300971,2025-09-30,83361
National Pension Service,298456,2025-09-30,4349
CITADEL ADVISORS LLC,287931,2025-09-30,262219
Swiss National Bank,282003,2025-09-30,-14100
FIL Ltd,275116,2025-09-30,53906
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",268950,2025-09-30,12536
AMERICAN CENTURY COMPANIES INC,263500,2025-09-30,-71432
"Alyeska Investment Group, L.P.",262983,2025-09-30,72384
GREAT WEST LIFE ASSURANCE CO /CAN/,257458,2025-09-30,-4916
NOMURA HOLDINGS INC,254482,2025-09-30,-296209
Harbor Advisors LLC,252790,2025-09-30,0
abrdn plc,250274,2025-09-30,13605
RAYMOND JAMES FINANCIAL INC,245455,2025-09-30,-34272
Qube Research & Technologies Ltd,241762,2025-09-30,-128807
Universal- Beteiligungs- und Servicegesellschaft mbH,236992,2025-09-30,18626
ALKEON CAPITAL MANAGEMENT LLC,233775,2025-09-30,0
SCHRODER INVESTMENT MANAGEMENT GROUP,231628,2025-09-30,-2898
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,224543,2025-09-30,-18457
ALLIANCEBERNSTEIN L.P.,223506,2025-09-30,-19927
Neuberger Berman Group LLC,221043,2025-09-30,7244
ABN AMRO Bank N.V.,219072,2025-09-30,3310
Rathbones Group PLC,218956,2025-09-30,8177
SEI INVESTMENTS CO,209672,2025-09-30,-36197
Railway Pension Investments Ltd,204169,2025-09-30,102900
"D. E. Shaw & Co., Inc.",198960,2025-09-30,-251719
AQR CAPITAL MANAGEMENT LLC,195883,2025-09-30,51747
"Asset Management One Co., Ltd.",191747,2025-09-30,-6254
RHUMBLINE ADVISERS,184213,2025-09-30,-9702
BAMCO INC /NY/,178348,2025-09-30,-14070
ENVESTNET ASSET MANAGEMENT INC,178014,2025-09-30,-5686
STIFEL FINANCIAL CORP,177475,2025-09-30,8805
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,177397,2025-09-30,-2084
NOMURA ASSET MANAGEMENT CO LTD,174893,2025-09-30,230
Allianz Asset Management GmbH,174549,2025-09-30,29951
Woodline Partners LP,170199,2025-09-30,159642
WELLS FARGO & COMPANY/MN,161624,2025-09-30,17078
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",159531,2025-09-30,-10432
REAVES W H & CO INC,158626,2025-09-30,-140
AEW CAPITAL MANAGEMENT L P,156531,2025-09-30,-27300
VOYA INVESTMENT MANAGEMENT LLC,150610,2025-09-30,-6949
JANUS HENDERSON GROUP PLC,150576,2025-09-30,-209351
Elliott Investment Management L.P.,150000,2025-09-30,0
Mitsubishi UFJ Trust & Banking Corp,146228,2025-09-30,54929
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,146161,2025-09-30,-1701
Retirement Systems of Alabama,145096,2025-09-30,6985
"ADAGE CAPITAL PARTNERS GP, L.L.C.",144968,2025-09-30,-19500
AXA Investment Managers S.A.,144652,2025-09-30,144652
BANK OF MONTREAL /CAN/,142333,2025-09-30,42618
HEITMAN REAL ESTATE SECURITIES LLC,140496,2025-09-30,2112
CI INVESTMENTS INC.,140336,2025-09-30,815
NATIXIS,139329,2025-09-30,11458
STRS OHIO,138257,2025-09-30,11590
Swedbank AB,136793,2025-09-30,-138192
"Point72 Asset Management, L.P.",136066,2025-09-30,130645
"BNP PARIBAS ARBITRAGE, SNC",129601,2025-09-30,-10746
Adelante Capital Management LLC,125234,2025-09-30,-14772
AGF MANAGEMENT LTD,121106,2025-09-30,72858
NEW YORK STATE COMMON RETIREMENT FUND,118195,2025-09-30,-7960
"DigitalBridge Group, Inc.",115366,2025-09-30,28726
CITIGROUP INC,112686,2025-09-30,-56602
Squarepoint Ops LLC,110620,2025-09-30,73984
Quilter Plc,109747,2025-09-30,14664
"Douglas Lane & Associates, LLC",107789,2025-09-30,14264
ACADIAN ASSET MANAGEMENT LLC,106233,2025-09-30,19553
BNP Paribas Asset Management Holding S.A.,100791,2025-09-30,41887
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,98987,2025-09-30,39295
Skandinaviska Enskilda Banken AB (publ),94922,2025-09-30,25732
Zurcher Kantonalbank (Zurich Cantonalbank),90574,2025-09-30,117
1832 Asset Management L.P.,90497,2025-09-30,28261
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,90415,2025-09-30,-8192
"Pacer Advisors, Inc.",89652,2025-09-30,8093
Man Group plc,88232,2025-09-30,-111564
DekaBank Deutsche Girozentrale,87996,2025-09-30,0
"CIBC Private Wealth Group, LLC",84368,2025-09-30,-2538
Candriam S.C.A.,84128,2025-09-30,41159
Rockefeller Capital Management L.P.,81902,2025-09-30,-1403
"GRS Advisors, LLC",80895,2025-09-30,-177
TORONTO DOMINION BANK,80789,2025-09-30,8787
AVIVA PLC,80772,2025-09-30,7677
State of New Jersey Common Pension Fund D,80075,2025-09-30,1617
Employees Retirement System of Texas,78688,2025-09-30,-27467
INTECH INVESTMENT MANAGEMENT LLC,78091,2025-09-30,48967
TCW GROUP INC,75343,2025-09-30,64485
