holder,shares,dateReported,change
VANGUARD GROUP INC,12835668,2025-09-30,2630
"BlackRock, Inc.",10007226,2025-09-30,-275486
ALLIANCEBERNSTEIN L.P.,6777633,2025-09-30,-3076938
STATE STREET CORP,4996816,2025-09-30,101349
FMR LLC,4769837,2025-09-30,1826517
"GEODE CAPITAL MANAGEMENT, LLC",2922026,2025-09-30,66055
MORGAN STANLEY,2535829,2025-09-30,416401
"T. Rowe Price Investment Management, Inc.",2380317,2025-09-30,-712419
Invesco Ltd.,1826104,2025-09-30,98089
FIRST TRUST ADVISORS LP,1451743,2025-09-30,991209
NORTHERN TRUST CORP,1410188,2025-09-30,91726
JANUS HENDERSON GROUP PLC,1373165,2025-09-30,3624
RENAISSANCE TECHNOLOGIES LLC,1342924,2025-09-30,-315900
DEUTSCHE BANK AG\,1036579,2025-09-30,247889
UBS ASSET MANAGEMENT AMERICAS INC,988472,2025-09-30,-244150
Legal & General Group Plc,916421,2025-09-30,-19710
GOLDMAN SACHS GROUP INC,819496,2025-09-30,360393
BALYASNY ASSET MANAGEMENT L.P.,749658,2025-09-30,697600
NORDEA INVESTMENT MANAGEMENT AB,709997,2025-09-30,23358
BANK OF AMERICA CORP /DE/,695334,2025-09-30,1389
DIMENSIONAL FUND ADVISORS LP,675969,2025-09-30,14585
Amundi,663779,2025-09-30,-87930
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,592478,2025-09-30,2431
UBS Group AG,575865,2025-09-30,66134
Bank of New York Mellon Corp,524249,2025-09-30,-17984
AQR CAPITAL MANAGEMENT LLC,483594,2025-09-30,-62454
"TWO SIGMA INVESTMENTS, LP",481276,2025-09-30,-68849
Robeco Institutional Asset Management B.V.,438105,2025-09-30,-180925
"MARSHALL WACE, LLP",436503,2025-09-30,436503
LOS ANGELES CAPITAL MANAGEMENT LLC,432422,2025-09-30,-153025
PRICE T ROWE ASSOCIATES INC /MD/,430022,2025-09-30,-131710
DekaBank Deutsche Girozentrale,416064,2025-09-30,0
HORIZON KINETICS ASSET MANAGEMENT LLC,409459,2025-09-30,-3258
"LORD, ABBETT & CO. LLC",385141,2025-09-30,-140268
TD ASSET MANAGEMENT INC,380880,2025-09-30,-45006
JPMORGAN CHASE & CO,357333,2025-09-30,61892
BARCLAYS PLC,350632,2025-09-30,-4128
"PARNASSUS INVESTMENTS, LLC",342751,2025-09-30,-13360
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,342737,2025-09-30,-64697
"Nuveen, LLC",336382,2025-09-30,-1929
VIRGINIA RETIREMENT SYSTEMS ET AL,322990,2025-09-30,92400
Boston Trust Walden Corp,313480,2025-09-30,-24093
ANCHOR CAPITAL ADVISORS LLC,310702,2025-09-30,-14219
MACKENZIE FINANCIAL CORP,291651,2025-09-30,1960
CREDIT AGRICOLE S A,287358,2025-09-30,287358
"Sumitomo Mitsui Trust Holdings, Inc.",285520,2025-09-30,-1884
HSBC HOLDINGS PLC,283836,2025-09-30,17039
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",283026,2025-09-30,213199
Freestone Grove Partners LP,272996,2025-09-30,230905
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,261207,2025-09-30,78576
"Clark Capital Management Group, Inc.",256816,2025-09-30,6464
BANK OF MONTREAL /CAN/,241198,2025-09-30,-797
BAHL & GAYNOR INC,239907,2025-09-30,-1233
RHUMBLINE ADVISERS,227373,2025-09-30,2780
"Point72 Asset Management, L.P.",226943,2025-09-30,140932
RAYMOND JAMES FINANCIAL INC,218517,2025-09-30,-9606
"Holocene Advisors, LP",212768,2025-09-30,63475
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",210312,2025-09-30,3450
Gillson Capital LP,206812,2025-09-30,80150
GILDER GAGNON HOWE & CO LLC,206360,2025-09-30,-20487
CITADEL ADVISORS LLC,199297,2025-09-30,120104
BNP Paribas Asset Management Holding S.A.,194261,2025-09-30,7052
ENVESTNET ASSET MANAGEMENT INC,193835,2025-09-30,-8535
MILLENNIUM MANAGEMENT LLC,188293,2025-09-30,14339
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,184270,2025-09-30,-4665
ROYAL BANK OF CANADA,176334,2025-09-30,66258
AXA Investment Managers S.A.,172688,2025-09-30,172688
"Russell Investments Group, Ltd.",168689,2025-09-30,-10656
VICTORY CAPITAL MANAGEMENT INC,168128,2025-09-30,-1548
National Pension Service,164595,2025-09-30,1990
Man Group plc,162684,2025-09-30,-384050
Perpetual Ltd,158684,2025-09-30,-90319
NATIXIS,158560,2025-09-30,136821
LPL Financial LLC,154857,2025-09-30,9290
"BNP PARIBAS ARBITRAGE, SNC",154489,2025-09-30,48222
PRINCIPAL FINANCIAL GROUP INC,149724,2025-09-30,-5743
GREAT WEST LIFE ASSURANCE CO /CAN/,144513,2025-09-30,3296
"TWO SIGMA ADVISERS, LP",143620,2025-09-30,-470380
Mitsubishi UFJ Trust & Banking Corp,138898,2025-09-30,-3950
"Smith Group Asset Management, LLC",138503,2025-09-30,5984
E. Ohman J:or Asset Management AB,135794,2025-09-30,-50510
WELLS FARGO & COMPANY/MN,135525,2025-09-30,-55097
"CWM, LLC",133404,2025-09-30,1317
Qube Research & Technologies Ltd,131038,2025-09-30,-165498
CITIGROUP INC,129054,2025-09-30,-24159
AMERICAN CENTURY COMPANIES INC,128135,2025-09-30,-10033
Universal- Beteiligungs- und Servicegesellschaft mbH,127394,2025-09-30,-9296
"Rakuten Investment Management, Inc.",126814,2025-09-30,126814
Andra AP-fonden,124200,2025-09-30,9100
Caldwell Investment Management Ltd.,118000,2025-09-30,0
BURNEY CO/,109621,2025-09-30,-21075
Swedbank AB,108403,2025-09-30,457
"Kovitz Investment Group Partners, LLC",106679,2025-09-30,-579
"Stack Financial Management, Inc",105090,2025-09-30,-1486
AMERIPRISE FINANCIAL INC,104565,2025-09-30,7461
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,102499,2025-09-30,0
abrdn plc,101779,2025-09-30,9180
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,97985,2025-09-30,-1291
"NATIXIS ADVISORS, L.P.",97693,2025-09-30,-1788
Zurcher Kantonalbank (Zurich Cantonalbank),97569,2025-09-30,-6882
"McGuire Investment Group, LLC",95319,2025-09-30,-862
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,95242,2025-09-30,-2200
Candriam S.C.A.,89839,2025-09-30,42984
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",89300,2025-09-30,-235316
Rockefeller Capital Management L.P.,88788,2025-09-30,-2292
Calamos Advisors LLC,88105,2025-09-30,0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,85810,2025-09-30,-229
"Gotham Asset Management, LLC",84724,2025-09-30,3464
AVIVA PLC,83072,2025-09-30,4770
CIDEL ASSET MANAGEMENT INC,82859,2025-09-30,-26047
"Connor, Clark & Lunn Investment Management Ltd.",81501,2025-09-30,-59385
"ADVISOR GROUP HOLDINGS, INC.",80188,2025-09-30,41506
"CI Private Wealth, LLC",80041,2025-09-30,-816
DANSKE BANK A/S,78980,2025-09-30,963
Northwest & Ethical Investments L.P.,78548,2025-09-30,-14450
Illinois Municipal Retirement Fund,78421,2025-09-30,-2848
VOYA INVESTMENT MANAGEMENT LLC,77621,2025-09-30,-15437
"OPTIONS SOLUTIONS, LLC",76900,2025-09-30,-175
"Lighthouse Investment Partners, LLC",75500,2025-09-30,42286
NEW YORK STATE COMMON RETIREMENT FUND,74345,2025-09-30,-2600
Distillate Capital Partners LLC,73826,2025-09-30,-946
SEI INVESTMENTS CO,73698,2025-09-30,-25221
BANK OF NOVA SCOTIA,73050,2025-09-30,60047
NATIONAL BANK OF CANADA /FI/,71280,2025-09-30,-8925
"Susquehanna Portfolio Strategies, LLC",71152,2025-09-30,4399
Greenwich Wealth Management LLC,70120,2025-09-30,91
"Bank Julius Baer & Co. Ltd, Zurich",68866,2025-09-30,1676
