symbol,date,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
PAYC,2024-12-31,2024,FY,1.1018736561892086,1.1015153066448244,0.10289751203030613,9.904152506372133,1.5271966527196652,11.431349159091798,26.071428571428573,-14.640079412336775,0.8223237043330501,0.33682030586236195,0.3446261682242991,0.26656754460492776,0.22650231124807396,0.08566699090428165,0.3185481312266007,0.32476575700168964,0.773497688751926,1.0231751537127542,0.33682030586236195,0.01423232478369938,0.052922139729678276,0,0.05026215874163804,186.55882352941177,6.40167865707434,3.7184466019417477,36.853228962818,14,239,2.933333333333333,0.3213706718544685,9.5,6.067615658362989,7.153024911032029,0.16892430278884463,0.28350679694137637,0.638696385090841,6.40167865707434,0,2.7677553136340074,1.9225783219301404,0.16892430278884463,7.309673202614379,7.309673202614379,6.116882965165676,22.946840637450197,33.780979472140764,21.57578947368421,21.57578947368421,0.44905903366665795,6.116882965165676,0.00736154948115834,14.030707753977202,7.309673202614379
PAYC,2023-12-31,2023,FY,1.109997632762566,1.1094452773613193,0.11599463426181646,7.499557182499853,1.849439015562794,9.348996198062647,18.362287368802026,-9.013291170739382,0.836866032945622,0.2664580504221527,0.27891598275963864,0.20120918698706972,0.2786007620660457,0.08118832638475283,0.26154105909439757,0.2713933489686692,0.7213971210838273,1.0467538222911588,0.2664580504221527,0.01808219178082192,0.05825019186492709,0,0.05504387555297701,237.52631578947367,6.390474308300395,3.221412125863392,48.66954022988506,19.87769784172662,197.35714285714286,2.961013986013986,0.40350208457415127,8.40516748401407,4.994298785242692,5.094702549084166,0.19025904668004742,0.2863771624254591,0.5941938450056388,6.390474308300395,0,2.464230736012112,1.8536280568198755,0.19025904668004742,9.155173476592479,9.155173476592479,7.043272740154691,35.00472739650457,41.39119601951382,24.594393912217008,24.594393912217008,1.620218810923927,7.043272740154691,0.005435238632912362,19.91004937096226,9.155173476592479
PAYC,2022-12-31,2022,FY,1.1628645241954585,1.1621884724554141,0.168583829364036,7.544713496218732,2.7576633756464504,10.302376871865182,27.549177244945934,-17.246800373080756,0.8453315881326352,0.2753781268179174,0.283304246655032,0.20461678301337988,0.2776925051334702,0.07210456441785075,0.23793956910452924,0.248250382175793,0.7222510266940452,1.0287826775811988,0.2753781268179174,0.007431109134037478,0.024522093983884757,0.023935153890659266,0.023935153890659266,151.48,12.589758620689656,3.2999238123907606,48.37824526841624,13.249034508533699,132.35843186060984,3.4170874249592496,0.35238832003890824,6.3027033558900705,3.941185609722414,6.9177254522855955,0,0.2654908376963351,0.6253166914541923,12.589758620689656,0,2.6689205982543602,2.6689205982543602,0,15.20000953824897,15.20000953824897,13.071289761489238,63.881806609355735,78.73519055649241,49.234428859801206,49.234428859801206,1.4731926830320814,13.071289761489238,0,36.31169075907591,15.20000953824897
PAYC,2021-12-31,2021,FY,1.1314442753000638,1.1308760506629287,0.13965866329047785,8.957252511548766,2.5500352099625663,11.507287721511332,13.013972795671028,-1.5066850741596944,0.8466297308256373,0.24022854999033655,0.2424975651903699,0.1856518658031461,0.2344176088638157,0.06094903962340734,0.21926477597978772,0.20703825725565123,0.7655823911361843,1.0094452353815757,0.24022854999033655,0.009068020260361508,0.03262229303781747,0.02972552204226713,0.031591699363614986,0,10.953935860058309,3.5975099416591885,40.749102420569045,28.046777546777548,143.13527851458886,3.024831424289231,0.3282974795849021,5.517180616740088,3.337133972531744,4.802245832253607,0,0.3025625187110857,0.6048621939992861,10.953935860058309,179.92225352112675,2.5307626473944467,2.5307626473944467,0,26.891458732883226,26.891458732883226,22.7690447114419,122.64376990202082,124.41514287932908,75.25401628872565,75.25401628872565,3.393144300622578,22.7690447114419,0,73.59414497623645,26.891458732883226
PAYC,2020-12-31,2020,FY,1.0853157395388904,1.0846457861620578,0.08830462797506447,8.492175262706285,3.400474317258349,11.892649579964633,20.051276447638937,-8.1586268676743,0.8531720847980947,0.22119738446509174,0.2209751448123085,0.17048633642091954,0.22848184321486964,0.05500684072161944,0.21879742481807934,0.20915469691487185,0.7715181567851304,0.9989952880621954,0.22119738446509174,0.011846258616088273,0.04712015532843331,0.04252426390483117,0.04499975966335391,9795.947368421053,7.354405386159125,3.9776402706960954,42.980742708280125,18.203329895388244,107.33796698523024,2.9501433990842094,0.3226466230455629,3.9431968066643526,2.3100485942381117,2.632939951405762,0,0.2700235550263003,0.5858314224473717,7.354405386159125,128.00394366197182,2.4144757815986906,2.4144757815986906,0,39.7451738217292,39.7451738217292,30.969327362573893,181.65284100018823,195.77510236279628,114.69120669697676,114.69120669697676,-8.775229549855249,30.969327362573893,0,108.37774518652226,39.7451738217292
PAYC,2019-12-31,2019,FY,1.0670524806646282,1.066392095451326,0.07622772910747627,6.589753426663106,3.8513125643525563,10.441065991015662,16.79877354278477,-6.357707551769106,0.8512250041007441,0.30667330015684496,0.30648758050675706,0.2447920549947063,0.2012986151348817,0.07261038466502903,0.3428909970605437,0.3084613339332829,0.7987013848651183,0.9993944055449466,0.30667330015684496,0.013121869366770181,0.061965941803322266,0.05535206265269442,0.0583502157311166,240.66382978723405,6.872276529893053,4.722341007314461,55.38902237573209,21.72777667788557,94.77288428324698,3.0935049358796936,0.29662067531807457,3.896092840638627,2.2815621688295895,2.3221799482288357,0,0.3040149334866085,0.5856026183543429,6.872276529893053,126.34535211267605,2.413142660382637,2.413142660382637,0,28.938549336533566,28.938549336533566,20.659413695265233,84.39576887293993,116.04329858599395,67.95525949443287,67.95525949443287,2.6429201304946957,20.659413695265233,0,56.22837920352996,28.938549336533566
PAYC,2018-12-31,2018,FY,1.0349379108412513,1.034163133018756,0.044443277903180964,4.753785738501525,3.205105604706764,7.95889134320829,25.286956138514594,-17.328064795306304,0.839736481523336,0.3067348711718838,0.3084935444683015,0.2420206379251893,0.21547584296352262,0.09006022631849381,0.4094511475625312,0.3521887747240717,0.7845241570364774,1.0057335290562128,0.3067348711718838,0.022595710960979707,0.10272947516527112,0.08877770730631766,0.09315927204165335,226.78198433420366,5.374305737299718,4.546414819284666,76.78091106290672,14.434319338422393,113.88080301129234,3.2003254936087973,0.3721179610572393,3.2024395909190426,2.1644109131805433,0.7921843402805845,0,0.3263380749237202,0.675863151117051,5.374305737299718,104.12225352112677,3.0851166828030583,3.0851166828030583,0,21.11034261604825,21.11034261604825,12.478017505067664,51.55765893371758,56.574285064966254,38.236474576202404,38.236474576202404,0.48204315263231884,12.478017505067664,0,34.39420828214728,21.11034261604825
PAYC,2017-12-31,2017,FY,1.031673846995839,1.0308151895536735,0.040413032648278474,7.268021715887652,4.9610568112400735,12.229078527127726,32.88790470372633,-20.658826176598602,0.833671633794946,0.29952868857191023,0.2949610550355966,0.1542719381499006,0.0770362947421163,0.049298092334211945,0.23753853374435993,0.6032686547727568,0.523024770613472,0.9847505974867011,0.29952868857191023,0.026049983618218902,0.1255195610975406,0.1090220204586566,0.11152143901891966,142.3819978046103,3.699507110078749,4.818412285286598,50.21999304186478,11.098305084745762,73.57303370786516,2.931837107748553,0.3195532053685015,2.2579859612402706,1.231190185956209,0.7966402690357423,0,0.30158389274143454,0.545260336906585,3.699507110078749,147.07207207207207,2.199060432066544,2.199060432066544,0,16.52006713369387,16.52006713369387,10.72913406893478,69.54689360620893,65.24580923101767,35.57595192304747,35.57595192304747,1.3552727984799688,10.72913406893478,0,31.31253003384266,16.52006713369387
PAYC,2016-12-31,2016,FY,1.0296909313000198,1.0289400084993336,0.06692446495359854,2.2522718227142775,4.556930418377538,6.809202241091816,25.228516997743498,-18.41931475665168,0.8357360523301564,0.3091076468747436,0.30689582883931205,0.13319519597983842,0.13268720548053697,0.04064479104182872,0.3762218198357462,0.5661059765522845,0.43400784065259573,0.9928445056025162,0.3091076468747436,0.027650325000718515,0.25594068327512076,0.1976824247097867,0.20378405340585304,98.20463320463321,3.317898336909871,9.256335441571482,162.05859182668635,14.467754883596468,80.09777777777778,3.3985317198083593,0.3051520795688537,1.7194204906728046,0.9582589837561654,1.0453134101835677,0,0.3006401511814086,0.5573150889816377,3.317898336909871,88.90655884995508,2.2589430430316173,2.2589430430316173,0,22.466542346065722,22.466542346065722,7.953912699906727,59.71621304653285,47.47150902952056,26.456588278879874,26.456588278879874,0.5665384314671066,7.953912699906727,0,22.368817254149377,22.466542346065722
PAYC,2015-12-31,2015,FY,1.0461889066352912,1.0446865713492428,0.06970670786519943,14.78014983107281,11.246440955092606,26.026590786165414,50.40833873650382,-24.381747950338408,0.8420987033335856,0.1532808375583678,0.14923014604745985,0.09323267439117217,0.37524235645041015,0.023888737449716174,0.21304188620135484,0.230737273768921,0.6247576435495898,0.9735733991578336,0.1532808375583678,0.029359936950613216,0.2618345301788148,0.20180238694487293,0.20750306313277875,24.13104414856342,1.6693341620697693,8.918088980206278,24.69528415961306,7.240865482751582,32.454711802378775,3.816864317509939,0.2562270964092188,0.7606313955688602,0.46770369927199085,0.8976696591938744,0,0.1912816655019074,0.6148887647770641,1.6693341620697693,48.50112866817156,2.596652365701855,2.596652365701855,0,21.62370819110198,21.62370819110198,9.463097519730429,101.49979694915255,80.45692189002007,49.472057318719166,49.472057318719166,0.42942221786179924,9.463097519730429,0,47.347288826538666,21.62370819110198
