date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,recordDate,dividend,paymentDate,declarationDate
2026-01-05,58,60.09,57.9,59.935,59.935,7689307,7689307,1.94,3.33621,59.31,"January 05, 26",0.0333621,,,,,
2026-01-02,58.67,58.8,57.65,58.14,58.14,14693106,14693106,-0.53,-0.90336,58.315,"January 02, 26",-0.0090336,,,,,
2025-12-31,59.03,59.04,58.34,58.38,58.38,13027336,13027336,-0.65,-1.1,58.6975,"December 31, 25",-0.011,,,,,
2025-12-30,59.46,59.6,59.08,59.1,59.1,11277900,11277900,-0.36,-0.60545,59.31,"December 30, 25",-0.0060545,,,,,
2025-12-29,59.85,60.14,59.13,59.49,59.49,12910143,12910143,-0.36,-0.6015,59.6525,"December 29, 25",-0.006015,,,,,
2025-12-26,60,60.11,59.54,59.97,59.97,7537808,7537808,-0.03,-0.05,59.905,"December 26, 25",-0.0005,,,,,
2025-12-24,59.33,60.15,59.31,60.04,60.04,5491700,5491700,0.708,1.2,59.7075,"December 24, 25",0.012,,,,,
2025-12-23,59.83,60.07,58.94,59.41,59.41,12153643,12153643,-0.42,-0.70199,59.5625,"December 23, 25",-0.0070199,,,,,
2025-12-22,59.96,60.55,59.76,59.86,59.86,13976104,13976104,-0.1,-0.16678,60.0325,"December 22, 25",-0.0016678,,,,,
2025-12-19,58.92,60.12,58.8,59.81,59.81,31927500,31927500,0.89,1.51,59.4125,"December 19, 25",0.0151,,,,,
2025-12-18,59.59,60.32,58.92,59.44,59.44,23734500,23734500,-0.15,-0.25172,59.5675,"December 18, 25",-0.0025172,,,,,
2025-12-17,61.39,62.41,60.13,60.18,60.18,16357832,16357832,-1.21,-1.97,61.0275,"December 17, 25",-0.0197,,,,,
2025-12-16,61.69,62.15,60.95,61.33,61.33,17316800,17316800,-0.36,-0.58356,61.53,"December 16, 25",-0.0058356,,,,,
2025-12-15,61.96,62.82,60.63,60.74,60.74,18187549,18187549,-1.22,-1.97,61.5375,"December 15, 25",-0.0197,,,,,
2025-12-12,61.08,62.15,61,61.66,61.66,15964000,15964000,0.58,0.94957,61.4725,"December 12, 25",0.0094957,,,,,
2025-12-11,60.08,61.79,59.85,61.69,61.69,14023800,14023800,1.61,2.68,60.8525,"December 11, 25",0.0268,,,,,
2025-12-10,60.49,61.48,60.16,61.16,61.16,19985108,19985108,0.67,1.11,60.8225,"December 10, 25",0.0111,,,,,
2025-12-09,60.75,61.5,60.49,60.78,60.78,13214748,13214748,0.03,0.04938272,60.88,"December 09, 25",0.0004938272,,,,,
2025-12-08,62.43,62.51,60.99,61.12,61.12,12544000,12544000,-1.3,-2.1,61.7625,"December 08, 25",-0.021,,,,,
2025-12-05,61.67,62.94,61.48,62.28,62.28,11152900,11152900,0.61,0.98914,62.0925,"December 05, 25",0.0098914,,,,,
2025-12-04,60.5,62.1,60.39,61.73,61.73,15994300,15994300,1.23,2.03,61.18,"December 04, 25",0.0203,,,,,
2025-12-03,62.85,63.93,60.41,61.24,61.24,24402802,24402802,-1.61,-2.56,62.1075,"December 03, 25",-0.0256,,,,,
2025-12-02,62.92,63.84,62.15,62.9,62.9,10834127,10834127,-0.02,-0.0317864,62.9525,"December 02, 25",-0.000317864,,,,,
2025-12-01,62.05,63.21,61.83,62.58,62.58,10923300,10923300,0.53,0.85415,62.4175,"December 01, 25",0.0085415,,,,,
2025-11-28,62.23,63.06,62.13,62.69,62.69,7875938,7875938,0.46,0.73919,62.5275,"November 28, 25",0.0073919,,,,,
2025-11-26,61.4,62.16,61.17,61.83,61.83,8335341,8335341,0.43,0.70033,61.64,"November 26, 25",0.0070033,,,,,
2025-11-25,60.86,61.98,60.72,61.22,61.22,11065203,11065203,0.36,0.59152,61.195,"November 25, 25",0.0059152,,,,,
2025-11-24,60.61,60.83,59.85,60.56,60.56,21013517,21013517,-0.05,-0.08249464,60.4625,"November 24, 25",-0.0008249464,,,,,
2025-11-21,58.24,60.96,58.04,60.57,60.57,20849400,20849400,2.33,4,59.4525,"November 21, 25",0.04,,,,,
2025-11-20,60.58,60.72,58,58.11,58.11,21059300,21059300,-2.47,-4.08,59.3525,"November 20, 25",-0.0408,,,,,
2025-11-19,60.61,60.76,59.16,60.11,60.11,25061938,25061938,-0.5,-0.82495,60.16,"November 19, 25",-0.0082495,0.14,2025-11-19,0.14,2025-12-10,2025-10-27
2025-11-18,61.39,61.64,60.47,60.7,60.56,18446646,18446646,-0.69,-1.12,61.05,"November 18, 25",-0.0112,,,,,
2025-11-17,62.81,63.17,61.29,61.89,61.75,20632720,20632720,-0.92,-1.46,62.29,"November 17, 25",-0.0146,,,,,
2025-11-14,64.11,64.65,62.75,62.81,62.67,21979900,21979900,-1.3,-2.03,63.58,"November 14, 25",-0.0203,,,,,
2025-11-13,66.51,67.28,65.15,65.33,65.18,14185800,14185800,-1.18,-1.77,66.0675,"November 13, 25",-0.0177,,,,,
2025-11-12,67.53,67.99,66.9,67.2,67.05,10134000,10134000,-0.33,-0.48867,67.405,"November 12, 25",-0.0048867,,,,,
