holder,shares,dateReported,change
VANGUARD GROUP INC,64493991,2025-09-30,88925
FMR LLC,41462514,2025-09-30,4705014
"BlackRock, Inc.",39000296,2025-09-30,-1526116
FRANKLIN RESOURCES INC,14009528,2025-09-30,-1166159
STATE STREET CORP,13728016,2025-09-30,392146
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",12403564,2025-09-30,2955159
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,12361185,2025-09-30,-442161
ROYAL BANK OF CANADA,10546264,2025-09-30,93238
Boston Partners,9816938,2025-09-30,162110
Bank of New York Mellon Corp,9788282,2025-09-30,603082
"GEODE CAPITAL MANAGEMENT, LLC",8792645,2025-09-30,125552
"Select Equity Group, L.P.",8620046,2025-09-30,-1077111
MORGAN STANLEY,8565165,2025-09-30,-532467
Invesco Ltd.,7449387,2025-09-30,45543
GOLDMAN SACHS GROUP INC,6849994,2025-09-30,224533
BANK OF AMERICA CORP /DE/,6469205,2025-09-30,116570
"Nuveen, LLC",6320717,2025-09-30,126285
DEUTSCHE BANK AG\,5827784,2025-09-30,-13033
Cevian Capital II GP LTD,5476229,2025-09-30,0
Capital World Investors,4977547,2025-09-30,-509992
BARCLAYS PLC,4759177,2025-09-30,-2883876
UBS Group AG,4354330,2025-09-30,-1309347
Amundi,4301094,2025-09-30,-721910
Egerton Capital (UK) LLP,4260846,2025-09-30,-309718
DIMENSIONAL FUND ADVISORS LP,4253676,2025-09-30,459209
Alphinity Investment Management Pty Ltd,4200399,2025-09-30,-1046493
NORTHERN TRUST CORP,4173605,2025-09-30,-27927
AMERIPRISE FINANCIAL INC,4014424,2025-09-30,306104
UBS ASSET MANAGEMENT AMERICAS INC,4005670,2025-09-30,-1767260
DekaBank Deutsche Girozentrale,3798126,2025-09-30,0
Legal & General Group Plc,3734888,2025-09-30,154224
BESSEMER GROUP INC,3685092,2025-09-30,7250
MILLENNIUM MANAGEMENT LLC,3683765,2025-09-30,-286527
Ninety One UK Ltd,3399803,2025-09-30,256313
BAUPOST GROUP LLC/MA,3383395,2025-09-30,-442000
Qube Research & Technologies Ltd,3336263,2025-09-30,1167309
"JANE STREET GROUP, LLC",3229393,2025-09-30,-84024
NORDEA INVESTMENT MANAGEMENT AB,3132648,2025-09-30,-236611
"LORD, ABBETT & CO. LLC",3113909,2025-09-30,1138
1832 Asset Management L.P.,2931548,2025-09-30,1011046
Eleva Capital SAS,2885796,2025-09-30,156374
BARROW HANLEY MEWHINNEY & STRAUSS LLC,2849167,2025-09-30,-22845
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,2834210,2025-09-30,41266
TD ASSET MANAGEMENT INC,2758784,2025-09-30,802156
LAZARD ASSET MANAGEMENT LLC,2739499,2025-09-30,-322897
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2647744,2025-09-30,6992
AVIVA PLC,2640257,2025-09-30,9694
"D. E. Shaw & Co., Inc.",2601160,2025-09-30,918539
WELLINGTON MANAGEMENT GROUP LLP,2594955,2025-09-30,13352
AMERICAN CENTURY COMPANIES INC,2548709,2025-09-30,-527184
Rathbones Group PLC,2513659,2025-09-30,546420
Artisan Partners Limited Partnership,2467039,2025-09-30,2467039
"MARSHALL WACE, LLP",2441919,2025-09-30,-3589984
Findlay Park Partners LLP,2422811,2025-09-30,-44100
Vontobel Holding Ltd.,2353662,2025-09-30,442818
PRINCIPAL FINANCIAL GROUP INC,2269271,2025-09-30,448860
Third Point LLC,2165000,2025-09-30,-425000
GREAT WEST LIFE ASSURANCE CO /CAN/,2151561,2025-09-30,-25813
JPMORGAN CHASE & CO,2114013,2025-09-30,-945543
MACKENZIE FINANCIAL CORP,2072785,2025-09-30,-68973
Swiss National Bank,1948560,2025-09-30,-103200
CITIGROUP INC,1811126,2025-09-30,1260558
ALKEON CAPITAL MANAGEMENT LLC,1750000,2025-09-30,1750000
LGT Group Foundation,1666972,2025-09-30,634301
Perpetual Ltd,1659728,2025-09-30,-91278
"Sumitomo Mitsui Trust Holdings, Inc.",1656366,2025-09-30,7180
Zurich Insurance Group Ltd/FI,1628594,2025-09-30,978181
Neuberger Berman Group LLC,1565915,2025-09-30,-193008
Assenagon Asset Management S.A.,1565570,2025-09-30,477520
JANUS HENDERSON GROUP PLC,1553148,2025-09-30,942484
BANK OF MONTREAL /CAN/,1516342,2025-09-30,453276
