holder,shares,dateReported,change
VANGUARD GROUP INC,9962025,2025-09-30,86040
"BlackRock, Inc.",8205011,2025-09-30,-168971
STATE STREET CORP,3517670,2025-09-30,-36754
Fundsmith LLP,2610457,2025-09-30,-28832
"GEODE CAPITAL MANAGEMENT, LLC",2497676,2025-09-30,33386
Bank of New York Mellon Corp,2056680,2025-09-30,605290
BAMCO INC /NY/,1884129,2025-09-30,-148491
MORGAN STANLEY,1622490,2025-09-30,-40836
Invesco Ltd.,1320263,2025-09-30,161782
PRINCIPAL FINANCIAL GROUP INC,1315722,2025-09-30,187967
POLEN CAPITAL MANAGEMENT LLC,1127147,2025-09-30,-68278
BLAIR WILLIAM & CO/IL,1031786,2025-09-30,-48719
NORTHERN TRUST CORP,942368,2025-09-30,-14723
UBS ASSET MANAGEMENT AMERICAS INC,875549,2025-09-30,-194551
JPMORGAN CHASE & CO,869930,2025-09-30,326348
GOLDMAN SACHS GROUP INC,711942,2025-09-30,122890
AMERICAN CENTURY COMPANIES INC,705158,2025-09-30,-148003
PRICE T ROWE ASSOCIATES INC /MD/,694208,2025-09-30,158107
Capital Research Global Investors,690601,2025-09-30,5641
FUNDSMITH INVESTMENT SERVICES LTD.,688357,2025-09-30,-156259
Legal & General Group Plc,675535,2025-09-30,26909
Amundi,592599,2025-09-30,-83073
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,575930,2025-09-30,19368
FRANKLIN RESOURCES INC,572978,2025-09-30,-19671
DIMENSIONAL FUND ADVISORS LP,544185,2025-09-30,-13001
MACQUARIE GROUP LTD,526630,2025-09-30,-75014
BANK OF AMERICA CORP /DE/,488338,2025-09-30,-5816
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",459019,2025-09-30,-226069
"Nuveen, LLC",448254,2025-09-30,-13749
CAPITAL COUNSEL LLC/NY,432690,2025-09-30,-28080
"CIBC Private Wealth Group, LLC",370539,2025-09-30,-4206
DEUTSCHE BANK AG\,352792,2025-09-30,23775
BESSEMER GROUP INC,352268,2025-09-30,-29560
UBS Group AG,350893,2025-09-30,-22118
ROYAL BANK OF CANADA,337750,2025-09-30,-70502
SCHRODER INVESTMENT MANAGEMENT GROUP,323305,2025-09-30,7520
TD ASSET MANAGEMENT INC,304190,2025-09-30,-25321
Railway Pension Investments Ltd,296530,2025-09-30,142200
"Select Equity Group, L.P.",282018,2025-09-30,-291695
"Clearbridge Investments, LLC",280847,2025-09-30,-2918
Pictet Asset Management Holding SA,279487,2025-09-30,-50874
Neuberger Berman Group LLC,274144,2025-09-30,-76843
