holder,shares,dateReported,change
VANGUARD GROUP INC,31058387,2025-09-30,852276
"BlackRock, Inc.",24017411,2025-09-30,45832
Lombard Odier Asset Management (Europe) Ltd,19066631,2025-09-30,19027479
STATE STREET CORP,10449828,2025-09-30,191872
"GEODE CAPITAL MANAGEMENT, LLC",7123061,2025-09-30,310621
"T. Rowe Price Investment Management, Inc.",6898249,2025-09-30,-1135390
ALLIANCEBERNSTEIN L.P.,5740239,2025-09-30,-259154
BROWN ADVISORY INC,5616440,2025-09-30,-545974
Pictet Asset Management Holding SA,4660426,2025-09-30,-159111
Invesco Ltd.,4323007,2025-09-30,-219710
NORDEA INVESTMENT MANAGEMENT AB,4194379,2025-09-30,-89709
Impax Asset Management Group plc,3839722,2025-09-30,144044
MORGAN STANLEY,3758811,2025-09-30,-81800
FIRST TRUST ADVISORS LP,3508512,2025-09-30,685614
Amundi,3503570,2025-09-30,-188564
Bank of New York Mellon Corp,3377754,2025-09-30,-397013
BANK OF AMERICA CORP /DE/,3177287,2025-09-30,-120209
NORTHERN TRUST CORP,3125235,2025-09-30,-15051
JPMORGAN CHASE & CO,3112217,2025-09-30,-54127
"FEDERATED HERMES, INC.",2962089,2025-09-30,-5778
GOLDMAN SACHS GROUP INC,2872411,2025-09-30,982934
Rudius Management LP,2845270,2025-09-30,0
UBS ASSET MANAGEMENT AMERICAS INC,2821713,2025-09-30,-255797
JANUS HENDERSON GROUP PLC,2387663,2025-09-30,22577
VICTORY CAPITAL MANAGEMENT INC,2194081,2025-09-30,248718
AQR CAPITAL MANAGEMENT LLC,2157211,2025-09-30,997778
RENAISSANCE TECHNOLOGIES LLC,1811400,2025-09-30,-145900
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",1779125,2025-09-30,431478
DF DENT & CO INC,1578497,2025-09-30,-75059
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1519538,2025-09-30,-23638
"Champlain Investment Partners, LLC",1517530,2025-09-30,-69357
Liontrust Investment Partners LLP,1432689,2025-09-30,195148
Legal & General Group Plc,1422074,2025-09-30,-3334
PRICE T ROWE ASSOCIATES INC /MD/,1385536,2025-09-30,308737
DIMENSIONAL FUND ADVISORS LP,1381997,2025-09-30,130657
DEUTSCHE BANK AG\,1355300,2025-09-30,-45354
"Nuveen, LLC",1341183,2025-09-30,-35706
UBS Group AG,1315516,2025-09-30,61302
FMR LLC,1291977,2025-09-30,-39033
Swedbank AB,1232532,2025-09-30,-196017
FRANKLIN RESOURCES INC,1192376,2025-09-30,-234375
Robeco Institutional Asset Management B.V.,1159417,2025-09-30,94607
PRINCIPAL FINANCIAL GROUP INC,1116072,2025-09-30,18380
Mirova US LLC,1084448,2025-09-30,-42138
ROYAL BANK OF CANADA,1049561,2025-09-30,32098
"Gates Capital Management, Inc.",1036048,2025-09-30,-98476
"BNP PARIBAS ARBITRAGE, SNC",1018084,2025-09-30,-56276
BARCLAYS PLC,1009547,2025-09-30,-12987
Neuberger Berman Group LLC,925605,2025-09-30,148232
ACADIAN ASSET MANAGEMENT LLC,878392,2025-09-30,37328
HSBC HOLDINGS PLC,845081,2025-09-30,-857015
DekaBank Deutsche Girozentrale,814216,2025-09-30,0
"Clearbridge Investments, LLC",805071,2025-09-30,-137389
SCHRODER INVESTMENT MANAGEMENT GROUP,768265,2025-09-30,101421
Robeco Schweiz AG,756211,2025-09-30,-44939
Allianz Asset Management GmbH,720892,2025-09-30,-66855
Swiss National Bank,714469,2025-09-30,-36500
AVIVA PLC,703936,2025-09-30,126332
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,689098,2025-09-30,104020
ENVESTNET ASSET MANAGEMENT INC,648712,2025-09-30,-27713
"Sumitomo Mitsui Trust Holdings, Inc.",640457,2025-09-30,4652
WESTWOOD HOLDINGS GROUP INC,624388,2025-09-30,-67429
MILLENNIUM MANAGEMENT LLC,620255,2025-09-30,-70336
Vontobel Holding Ltd.,594377,2025-09-30,70633
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,567894,2025-09-30,567894
LAZARD ASSET MANAGEMENT LLC,567713,2025-09-30,260663
Skandinaviska Enskilda Banken AB (publ),543104,2025-09-30,337890
"Russell Investments Group, Ltd.",525304,2025-09-30,90186
TEACHER RETIREMENT SYSTEM OF TEXAS,518243,2025-09-30,102339
FIRST MANHATTAN CO. LLC.,516102,2025-09-30,1259
CITADEL ADVISORS LLC,509097,2025-09-30,130455
Man Group plc,506427,2025-09-30,111346
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",500205,2025-09-30,24771
FIL Ltd,494370,2025-09-30,35499
RHUMBLINE ADVISERS,493367,2025-09-30,-866
Qube Research & Technologies Ltd,492518,2025-09-30,-190863
RAYMOND JAMES FINANCIAL INC,469125,2025-09-30,-8395
LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,448386,2025-09-30,-25497
KING LUTHER CAPITAL MANAGEMENT CORP,446331,2025-09-30,-12696
SEI INVESTMENTS CO,421944,2025-09-30,-5702
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,416964,2025-09-30,-3039
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,406013,2025-09-30,19286
National Pension Service,405237,2025-09-30,14775
OVERSEA-CHINESE BANKING Corp Ltd,381322,2025-09-30,-7062
CAPITAL ADVISORS INC/OK,380910,2025-09-30,22464
AMERICAN CENTURY COMPANIES INC,380753,2025-09-30,3204
WELLINGTON MANAGEMENT GROUP LLP,376591,2025-09-30,-169773
PRUDENTIAL FINANCIAL INC,373229,2025-09-30,-273263
Schonfeld Strategic Advisors LLC,366812,2025-09-30,362030
TD ASSET MANAGEMENT INC,363381,2025-09-30,-885
abrdn plc,356511,2025-09-30,79463
DUFF & PHELPS INVESTMENT MANAGEMENT CO,344881,2025-09-30,10643
"Reynders McVeigh Capital Management, LLC",316243,2025-09-30,13636
BALYASNY ASSET MANAGEMENT L.P.,315862,2025-09-30,204619
Border to Coast Pensions Partnership Ltd,314180,2025-09-30,0
LPL Financial LLC,305054,2025-09-30,-19822
Northwest & Ethical Investments L.P.,304480,2025-09-30,50213
BNP Paribas Asset Management Holding S.A.,295316,2025-09-30,-2629
JUPITER ASSET MANAGEMENT LTD,293170,2025-09-30,0
NATIXIS,286866,2025-09-30,2285
MAR VISTA INVESTMENT PARTNERS LLC,280577,2025-09-30,-7043
FACTORY MUTUAL INSURANCE CO,280066,2025-09-30,0
"MARSHALL WACE, LLP",278988,2025-09-30,-157941
CANADA PENSION PLAN INVESTMENT BOARD,273875,2025-09-30,-111863
CITIGROUP INC,267156,2025-09-30,-21127
BANK OF NOVA SCOTIA,265116,2025-09-30,64581
"Gotham Asset Management, LLC",261104,2025-09-30,38834
NEW YORK STATE COMMON RETIREMENT FUND,258672,2025-09-30,8973
Zurcher Kantonalbank (Zurich Cantonalbank),254157,2025-09-30,8989
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",245601,2025-09-30,-72664
EASTERN BANK,244202,2025-09-30,5272
Candriam S.C.A.,242190,2025-09-30,-494
Capital International Investors,233985,2025-09-30,-6302
WELLS FARGO & COMPANY/MN,233433,2025-09-30,-69811
Universal- Beteiligungs- und Servicegesellschaft mbH,231738,2025-09-30,3731
Rockefeller Capital Management L.P.,210792,2025-09-30,2160
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,208051,2025-09-30,-20507
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,192542,2025-09-30,-2261
BANK OF MONTREAL /CAN/,188979,2025-09-30,-28140
"NATIXIS ADVISORS, L.P.",185084,2025-09-30,5082
"Susquehanna Portfolio Strategies, LLC",183422,2025-09-30,107265
ABN AMRO Bank N.V.,180384,2025-09-30,180384
Korea Investment CORP,178843,2025-09-30,-184
Yaupon Capital Management LP,171302,2025-09-30,171302
VIRGINIA RETIREMENT SYSTEMS ET AL,167592,2025-09-30,0
DANSKE BANK A/S,165089,2025-09-30,23663
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",163014,2025-09-30,5145
"ADAGE CAPITAL PARTNERS GP, L.L.C.",160867,2025-09-30,-41100
ING GROEP NV,159781,2025-09-30,-137833
Andra AP-fonden,158400,2025-09-30,-96400
FLPUTNAM INVESTMENT MANAGEMENT CO,155559,2025-09-30,326
TORONTO DOMINION BANK,153937,2025-09-30,-1321
STATE OF WISCONSIN INVESTMENT BOARD,153537,2025-09-30,4551
NATIONAL BANK OF CANADA /FI/,153420,2025-09-30,-98380
KLP KAPITALFORVALTNING AS,145449,2025-09-30,11200
"Ensign Peak Advisors, Inc",142416,2025-09-30,-26355
Squarepoint Ops LLC,142018,2025-09-30,-260007
Foresight Group Ltd Liability Partnership,140595,2025-09-30,94
"IEQ CAPITAL, LLC",140117,2025-09-30,75873
"CI Private Wealth, LLC",139262,2025-09-30,-8657
Voleon Capital Management LP,138414,2025-09-30,40665
WORLDQUANT MILLENNIUM ADVISORS LLC,138185,2025-09-30,3896
APG Asset Management N.V.,137300,2025-09-30,0
Avalon Trust Co,136712,2025-09-30,-164
ROYAL LONDON ASSET MANAGEMENT LTD,136569,2025-09-30,-3634
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,135414,2025-09-30,58728
"Chevy Chase Trust Holdings, LLC",134560,2025-09-30,-3330
Walter Public Investments Inc.,132718,2025-09-30,-18801
La Banque Postale Asset Management SA,132439,2025-09-30,1360
"D. E. Shaw & Co., Inc.",131471,2025-09-30,-156326
Handelsbanken Fonder AB,130048,2025-09-30,58908
Thematics Asset Management,129882,2025-09-30,0
"CBOE Vest Financial, LLC",129334,2025-09-30,118380
Daiwa Securities Group Inc.,127993,2025-09-30,11931
Engineers Gate Manager LP,127698,2025-09-30,-68677
INTECH INVESTMENT MANAGEMENT LLC,124951,2025-09-30,-224293
"Sumitomo Mitsui DS Asset Management Company, Ltd",124659,2025-09-30,42973
BILL & MELINDA GATES FOUNDATION TRUST,124333,2025-09-30,0
PRUDENTIAL PLC,123566,2025-09-30,1771
BLAIR WILLIAM & CO/IL,123277,2025-09-30,-3114
"Asset Management One Co., Ltd.",120993,2025-09-30,3337
"SEGALL BRYANT & HAMILL, LLC",120679,2025-09-30,-2214
Perpetual Ltd,119907,2025-09-30,1275
Illinois Municipal Retirement Fund,119035,2025-09-30,50053
"Williams Jones Wealth Management, LLC.",117277,2025-09-30,4897
"HFR Wealth Management, LLC",117265,2025-09-30,105616
AMERIPRISE FINANCIAL INC,117113,2025-09-30,-4144
Mitsubishi UFJ Trust & Banking Corp,116243,2025-09-30,-10403
"Vident Advisory, LLC",115848,2025-09-30,12259
Quantinno Capital Management LP,111091,2025-09-30,28253
Railway Pension Investments Ltd,111000,2025-09-30,-252299
Treasurer of the State of North Carolina,107196,2025-09-30,-66833
BRADLEY FOSTER & SARGENT INC/CT,106323,2025-09-30,-3219
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",100971,2025-09-30,-82695
"SCOPUS ASSET MANAGEMENT, L.P.",100000,2025-09-30,100000
"Mariner, LLC",98226,2025-09-30,24841
ABN AMRO INVESTMENT SOLUTIONS,96480,2025-09-30,82422
CREDIT AGRICOLE S A,96177,2025-09-30,96177
Ninety One UK Ltd,95949,2025-09-30,-6368
VAN ECK ASSOCIATES CORP,93600,2025-09-30,847
Mn Services Vermogensbeheer B.V.,92699,2025-09-30,0
DnB Asset Management AS,89953,2025-09-30,2120
"PNC FINANCIAL SERVICES GROUP, INC.",88862,2025-09-30,1799
Baker Chad R,87902,2025-09-30,0
Cerity Partners LLC,84268,2025-09-30,17038
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,84257,2025-09-30,133
"Resona Asset Management Co.,Ltd.",83696,2025-09-30,-5195
"Sone Capital Management, LLC",83383,2025-09-30,-2512
NORTHSTAR ASSET MANAGEMENT INC,83349,2025-09-30,2753
STIFEL FINANCIAL CORP,82383,2025-09-30,-13689
"PALISADE CAPITAL MANAGEMENT, LP",82160,2025-09-30,18545
State of New Jersey Common Pension Fund D,81721,2025-09-30,258
Lansforsakringar Fondforvaltning AB (publ),81497,2025-09-30,8335
KIRR MARBACH & CO LLC /IN/,80233,2025-09-30,177
NOMURA ASSET MANAGEMENT CO LTD,80130,2025-09-30,-1338
TRUIST FINANCIAL CORP,79711,2025-09-30,-13940
Groupe la Francaise,79212,2025-09-30,4218
Arizona State Retirement System,73070,2025-09-30,570
"PineBridge Investments, L.P.",72671,2025-09-30,-1988
STATE OF MICHIGAN RETIREMENT SYSTEM,70848,2025-09-30,-200
"Colony Group, LLC",69208,2025-09-30,12082
FORSTA AP-FONDEN,67908,2025-09-30,-1700
"MetLife Investment Management, LLC",65886,2025-09-30,-1417
"CWM, LLC",64211,2025-09-30,41849
"HighTower Advisors, LLC",63856,2025-09-30,23669
Czech National Bank,63028,2025-09-30,2442
Compass Wealth Management LLC,62925,2025-09-30,62925
Creative Planning,61014,2025-09-30,22712
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,59593,2025-09-30,-1196
"Bank Julius Baer & Co. Ltd, Zurich",59211,2025-09-30,9836
Cetera Investment Advisers,58924,2025-09-30,10878
M&T BANK CORP,58426,2025-09-30,-9632
"Lighthouse Investment Partners, LLC",57427,2025-09-30,7903
Rathbones Group PLC,56951,2025-09-30,26776
O'Brien Greene & Co. Inc,56737,2025-09-30,214
Mediolanum International Funds Ltd,56478,2025-09-30,5061
