holder,shares,dateReported,change
VANGUARD GROUP INC,252386304,2025-09-30,995623
"BlackRock, Inc.",206739699,2025-09-30,776922
STATE STREET CORP,113762849,2025-09-30,344162
"GEODE CAPITAL MANAGEMENT, LLC",65325029,2025-09-30,557036
JPMORGAN CHASE & CO,44639505,2025-09-30,-1376105
Capital World Investors,44035949,2025-09-30,2403019
MORGAN STANLEY,36146709,2025-09-30,-7090349
FMR LLC,36091120,2025-09-30,6195054
GOLDMAN SACHS GROUP INC,29884403,2025-09-30,-662693
PRICE T ROWE ASSOCIATES INC /MD/,27983601,2025-09-30,3638218
NORTHERN TRUST CORP,26224278,2025-09-30,-123955
BANK OF AMERICA CORP /DE/,19846513,2025-09-30,-6134966
UBS ASSET MANAGEMENT AMERICAS INC,19798871,2025-09-30,-4958581
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,19356307,2025-09-30,779609
Legal & General Group Plc,19138014,2025-09-30,-1087084
Amundi,18391511,2025-09-30,-1802641
BARCLAYS PLC,16315731,2025-09-30,-4190432
Bank of New York Mellon Corp,15257573,2025-09-30,-298018
Invesco Ltd.,14897309,2025-09-30,-811706
"Nuveen, LLC",13543092,2025-09-30,44965
LOOMIS SAYLES & CO L P,12742156,2025-09-30,-172641
BAMCO INC /NY/,11947614,2025-09-30,-1071184
JENNISON ASSOCIATES LLC,10909666,2025-09-30,3021550
Lombard Odier Asset Management (Europe) Ltd,10207477,2025-09-30,10188425
CITIGROUP INC,9576947,2025-09-30,222052
WELLINGTON MANAGEMENT GROUP LLP,9082638,2025-09-30,561784
Capital Research Global Investors,8982484,2025-09-30,-242452
DEUTSCHE BANK AG\,8800014,2025-09-30,-1476115
Swiss National Bank,8356175,2025-09-30,-406900
"Sumitomo Mitsui Trust Holdings, Inc.",8307560,2025-09-30,-183823
HSBC HOLDINGS PLC,8014284,2025-09-30,490416
BANK OF MONTREAL /CAN/,7646052,2025-09-30,759922
AMERICAN CENTURY COMPANIES INC,6966438,2025-09-30,-133248
ROYAL BANK OF CANADA,6872650,2025-09-30,1295123
FRANKLIN RESOURCES INC,6737089,2025-09-30,368493
PRIMECAP MANAGEMENT CO/CA/,6622130,2025-09-30,-295035
"BNP PARIBAS ARBITRAGE, SNC",6321716,2025-09-30,390090
"Holocene Advisors, LP",6157000,2025-09-30,3505000
NOMURA HOLDINGS INC,6143391,2025-09-30,-125751
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",5894465,2025-09-30,258887
National Pension Service,5681563,2025-09-30,164227
WELLS FARGO & COMPANY/MN,5421855,2025-09-30,1051706
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,5212573,2025-09-30,143827
CANADA PENSION PLAN INVESTMENT BOARD,5102954,2025-09-30,1507562
RHUMBLINE ADVISERS,5094392,2025-09-30,-85592
AMERIPRISE FINANCIAL INC,4996960,2025-09-30,-176727
DIMENSIONAL FUND ADVISORS LP,4890338,2025-09-30,256859
UBS Group AG,4733819,2025-09-30,-3248307
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,4560645,2025-09-30,24592
"JANE STREET GROUP, LLC",4534205,2025-09-30,80430
abrdn plc,4217717,2025-09-30,-372700
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",3857846,2025-09-30,1648548
PRINCIPAL FINANCIAL GROUP INC,3835227,2025-09-30,59848
Newlands Management Operations LLC,3766106,2025-09-30,0
"Rafferty Asset Management, LLC",3707946,2025-09-30,-274779
VOYA INVESTMENT MANAGEMENT LLC,3637497,2025-09-30,56916
ARK Investment Management LLC,3589622,2025-09-30,512158
NATIONAL BANK OF CANADA /FI/,3420818,2025-09-30,-1833203
Assenagon Asset Management S.A.,3285405,2025-09-30,-198231
NEW YORK STATE COMMON RETIREMENT FUND,3189883,2025-09-30,-146000
ALLIANCEBERNSTEIN L.P.,3180351,2025-09-30,39521
LPL Financial LLC,3150336,2025-09-30,75976
"Clearbridge Investments, LLC",2719179,2025-09-30,211663
GREAT WEST LIFE ASSURANCE CO /CAN/,2645719,2025-09-30,147989
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,2573416,2025-09-30,-160246
"ADAGE CAPITAL PARTNERS GP, L.L.C.",2452500,2025-09-30,-64800
PRUDENTIAL FINANCIAL INC,2450342,2025-09-30,-67494
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",2404886,2025-09-30,91795
DANSKE BANK A/S,2348662,2025-09-30,221698
RAYMOND JAMES FINANCIAL INC,2339418,2025-09-30,81925
