holder,shares,dateReported,change
VANGUARD GROUP INC,37324359,2025-09-30,-5658
Capital International Investors,22015466,2025-09-30,19857
"BlackRock, Inc.",20448142,2025-09-30,-667523
PRIMECAP MANAGEMENT CO/CA/,18002960,2025-09-30,-831750
"Sanders Capital, LLC",14773585,2025-09-30,258670
FMR LLC,14559577,2025-09-30,5768659
STATE STREET CORP,11457238,2025-09-30,-113855
"GEODE CAPITAL MANAGEMENT, LLC",8944166,2025-09-30,124290
Capital World Investors,7243066,2025-09-30,783551
DIMENSIONAL FUND ADVISORS LP,5460894,2025-09-30,-532403
PAR CAPITAL MANAGEMENT INC,4968850,2025-09-30,0
CITADEL ADVISORS LLC,4339356,2025-09-30,4010216
Invesco Ltd.,3990254,2025-09-30,-808169
UBS Group AG,3936425,2025-09-30,1009469
MORGAN STANLEY,3640392,2025-09-30,-39482
GOLDMAN SACHS GROUP INC,3535932,2025-09-30,-137243
"Pacer Advisors, Inc.",3353033,2025-09-30,-1927735
Newport Trust Co,3330861,2025-09-30,-84321
Senator Investment Group LP,3094643,2025-09-30,-30328
"SRS Investment Management, LLC",2901113,2025-09-30,0
BALYASNY ASSET MANAGEMENT L.P.,2646053,2025-09-30,2646053
LSV ASSET MANAGEMENT,2557559,2025-09-30,-32066
NORTHERN TRUST CORP,2536893,2025-09-30,-7760
BARCLAYS PLC,2460764,2025-09-30,358464
Boston Partners,2434975,2025-09-30,105525
Candlestick Capital Management LP,2239037,2025-09-30,624752
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2066671,2025-09-30,-954314
AQR CAPITAL MANAGEMENT LLC,1868286,2025-09-30,257925
AMERIPRISE FINANCIAL INC,1709166,2025-09-30,253033
"ASSETMARK, INC",1654605,2025-09-30,185787
JPMORGAN CHASE & CO,1629613,2025-09-30,-71925
"Holocene Advisors, LP",1491352,2025-09-30,427012
Allianz Asset Management GmbH,1461194,2025-09-30,274572
PRICE T ROWE ASSOCIATES INC /MD/,1432518,2025-09-30,88837
Bank of New York Mellon Corp,1416537,2025-09-30,16478
BANK OF AMERICA CORP /DE/,1381655,2025-09-30,-259405
Slate Path Capital LP,1158172,2025-09-30,4900
Qube Research & Technologies Ltd,1123842,2025-09-30,508331
"Anomaly Capital Management, LP",1114792,2025-09-30,-103128
LANSDOWNE PARTNERS (UK) LLP,1100211,2025-09-30,244037
GMT CAPITAL CORP,1091900,2025-09-30,-109100
AMERICAN CENTURY COMPANIES INC,1048893,2025-09-30,92136
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",1028774,2025-09-30,129702
Amundi,998344,2025-09-30,404304
HSBC HOLDINGS PLC,997974,2025-09-30,158546
Assenagon Asset Management S.A.,963018,2025-09-30,681847
"MARSHALL WACE, LLP",960037,2025-09-30,429265
ROYAL BANK OF CANADA,922867,2025-09-30,-142529
