holder,shares,dateReported,change
VANGUARD GROUP INC,56788419,2025-09-30,-1608186
"BlackRock, Inc.",45351341,2025-09-30,137569
STATE STREET CORP,21397509,2025-09-30,-1789418
AQR CAPITAL MANAGEMENT LLC,14654834,2025-09-30,6356152
"GEODE CAPITAL MANAGEMENT, LLC",12574215,2025-09-30,-634424
"D. E. Shaw & Co., Inc.",10629029,2025-09-30,7757543
Invesco Ltd.,10605256,2025-09-30,-1120654
HARRIS ASSOCIATES L P,9127944,2025-09-30,-11290787
"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",9046000,2025-09-30,5860630
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",8716056,2025-09-30,2111674
MORGAN STANLEY,8398985,2025-09-30,2546310
Politan Capital Management LP,7409084,2025-09-30,-634171
AMERIPRISE FINANCIAL INC,7290041,2025-09-30,1881041
CITADEL ADVISORS LLC,6199559,2025-09-30,5283375
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,6083375,2025-09-30,1924410
"8 KNOTS MANAGEMENT, LLC",5231550,2025-09-30,5231550
Boston Partners,5212696,2025-09-30,1272498
MILLENNIUM MANAGEMENT LLC,5104240,2025-09-30,2894209
NORTHERN TRUST CORP,4980860,2025-09-30,-82427
UBS ASSET MANAGEMENT AMERICAS INC,4892356,2025-09-30,-203502
PRICE T ROWE ASSOCIATES INC /MD/,4699227,2025-09-30,3975957
Legal & General Group Plc,4447224,2025-09-30,323473
"TWO SIGMA ADVISERS, LP",4442692,2025-09-30,1173416
LSV ASSET MANAGEMENT,4433225,2025-09-30,-128839
DEUTSCHE BANK AG\,4297889,2025-09-30,1650450
GOLDMAN SACHS GROUP INC,4273590,2025-09-30,2554611
DIMENSIONAL FUND ADVISORS LP,4245690,2025-09-30,-257464
UBS Group AG,4158366,2025-09-30,2151631
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",3916206,2025-09-30,3421983
Capital World Investors,3875999,2025-09-30,-13856716
BANK OF AMERICA CORP /DE/,3812017,2025-09-30,1035
"TWO SIGMA INVESTMENTS, LP",3555851,2025-09-30,403622
FMR LLC,3345476,2025-09-30,-23575049
HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,3307963,2025-09-30,644088
Amundi,3089123,2025-09-30,-295629
PRUDENTIAL FINANCIAL INC,3052201,2025-09-30,1218119
EARNEST PARTNERS LLC,2957066,2025-09-30,-13677
Bank of New York Mellon Corp,2691052,2025-09-30,-209081
LYRICAL ASSET MANAGEMENT LP,2560074,2025-09-30,548277
"JANE STREET GROUP, LLC",2507168,2025-09-30,1196836
"Long Focus Capital Management, LLC",2299000,2025-09-30,2013560
"Kopernik Global Investors, LLC",2256881,2025-09-30,2256881
WELLINGTON MANAGEMENT GROUP LLP,2240595,2025-09-30,-5176223
"SCHARF INVESTMENTS, LLC",2103199,2025-09-30,89419
"MARSHALL WACE, LLP",2094592,2025-09-30,2094592
Walleye Trading LLC,1878545,2025-09-30,1878545
ROYAL BANK OF CANADA,1806122,2025-09-30,1075122
BANK OF MONTREAL /CAN/,1735851,2025-09-30,1412977
THOMPSON SIEGEL & WALMSLEY LLC,1695249,2025-09-30,613829
WORLDQUANT MILLENNIUM ADVISORS LLC,1686414,2025-09-30,486990
BARCLAYS PLC,1615149,2025-09-30,-549246
"DME Capital Management, LP",1560540,2025-09-30,721370
AustralianSuper Pty Ltd,1548158,2025-09-30,268871
CANADA PENSION PLAN INVESTMENT BOARD,1515786,2025-09-30,229552
"Sumitomo Mitsui Trust Holdings, Inc.",1507306,2025-09-30,-27881
Swedbank AB,1500832,2025-09-30,-23017
CAMBIAR INVESTORS LLC,1471994,2025-09-30,744926
BALYASNY ASSET MANAGEMENT L.P.,1464470,2025-09-30,1464470
Assenagon Asset Management S.A.,1450470,2025-09-30,-385957
Swiss National Bank,1434024,2025-09-30,-67700
Packer & Co Ltd,1415000,2025-09-30,1415000
SEI INVESTMENTS CO,1398796,2025-09-30,16298
Maple Rock Capital Partners Inc.,1338299,2025-09-30,1338299
"Nuveen, LLC",1301048,2025-09-30,-674337
Focused Investors LLC,1299200,2025-09-30,49200
HSBC HOLDINGS PLC,1270314,2025-09-30,-27628
Allianz Asset Management GmbH,1267809,2025-09-30,-521258
Freestone Grove Partners LP,1251047,2025-09-30,1251047
Aquatic Capital Management LLC,1212850,2025-09-30,1062490
JPMORGAN CHASE & CO,1153045,2025-09-30,-640860
ACADIAN ASSET MANAGEMENT LLC,1136969,2025-09-30,384693
RHUMBLINE ADVISERS,1086024,2025-09-30,-38557
Alberta Investment Management Corp,1075000,2025-09-30,194300
"BNP PARIBAS ARBITRAGE, SNC",1071913,2025-09-30,11120
National Pension Service,1042866,2025-09-30,111347
"Russell Investments Group, Ltd.",1001316,2025-09-30,456350
Weiss Asset Management LP,999737,2025-09-30,999737
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",995889,2025-09-30,52279
"Gotham Asset Management, LLC",941206,2025-09-30,641737
CITIGROUP INC,940961,2025-09-30,104112
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,906470,2025-09-30,107439
Polar Capital Holdings Plc,880649,2025-09-30,695993
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,876423,2025-09-30,-763377
"IMC-Chicago, LLC",873846,2025-09-30,810310
"IEQ CAPITAL, LLC",872159,2025-09-30,623764
"Susquehanna Portfolio Strategies, LLC",849468,2025-09-30,812268
Carmignac Gestion,848000,2025-09-30,-1302428
ALLIANCEBERNSTEIN L.P.,839737,2025-09-30,102633
JANUS HENDERSON GROUP PLC,838144,2025-09-30,-53244
Ranmore Fund Management Ltd,814000,2025-09-30,814000
"Cresset Asset Management, LLC",779066,2025-09-30,5103
PRIVATE MANAGEMENT GROUP INC,772445,2025-09-30,772445
WELLS FARGO & COMPANY/MN,769687,2025-09-30,189543
VOYA INVESTMENT MANAGEMENT LLC,763279,2025-09-30,-557418
"Grantham, Mayo, Van Otterloo & Co. LLC",761490,2025-09-30,209518
VIRGINIA RETIREMENT SYSTEMS ET AL,745600,2025-09-30,0
AMERICAN CENTURY COMPANIES INC,740087,2025-09-30,-2009296
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,734670,2025-09-30,605820
FIRST TRUST ADVISORS LP,721784,2025-09-30,-115965
ENVESTNET ASSET MANAGEMENT INC,707685,2025-09-30,-51738
"Bridgewater Associates, LP",676259,2025-09-30,-801413
Ninety One UK Ltd,655199,2025-09-30,655199
Woodline Partners LP,622475,2025-09-30,622475
Man Group plc,613927,2025-09-30,-1635233
"ARGA Investment Management, LP",602172,2025-09-30,602172
"GROUP ONE TRADING, L.P.",591692,2025-09-30,591692
DekaBank Deutsche Girozentrale,583845,2025-09-30,0
"PFM Health Sciences, LP",574360,2025-09-30,574360
"Toroso Investments, LLC",572841,2025-09-30,491535
GREAT WEST LIFE ASSURANCE CO /CAN/,549452,2025-09-30,-15843
South Dakota Investment Council,536345,2025-09-30,170346
Clearline Capital LP,526703,2025-09-30,285607
PRINCIPAL FINANCIAL GROUP INC,503392,2025-09-30,-83561
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,480302,2025-09-30,-23555
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",471133,2025-09-30,93777
LPL Financial LLC,466588,2025-09-30,260695
"Ensign Peak Advisors, Inc",462649,2025-09-30,86255
EASTERLY INVESTMENT PARTNERS LLC,456042,2025-09-30,203080
"Point72 Asset Management, L.P.",449267,2025-09-30,449267
Quantinno Capital Management LP,445477,2025-09-30,186494
"Stanley Capital Management, LLC",440912,2025-09-30,109000
Robeco Institutional Asset Management B.V.,440011,2025-09-30,-671571
PANAGORA ASSET MANAGEMENT INC,437476,2025-09-30,-94452
"JACOBS LEVY EQUITY MANAGEMENT, INC",432708,2025-09-30,432708
"Cubist Systematic Strategies, LLC",424336,2025-09-30,424336
CIBC WORLD MARKET INC.,421168,2025-09-30,379428
NEW YORK STATE COMMON RETIREMENT FUND,420651,2025-09-30,142381
"NATIXIS ADVISORS, L.P.",417084,2025-09-30,120068
RAYMOND JAMES FINANCIAL INC,411173,2025-09-30,-358970
VICTORY CAPITAL MANAGEMENT INC,405287,2025-09-30,-1494409
Universal- Beteiligungs- und Servicegesellschaft mbH,404088,2025-09-30,-19261
Cerity Partners LLC,403479,2025-09-30,307839
"Integral Health Asset Management, LLC",400000,2025-09-30,400000
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,395093,2025-09-30,-70598
AVIVA PLC,394191,2025-09-30,22919
HEARTLAND ADVISORS INC,389109,2025-09-30,-35791
"Sio Capital Management, LLC",387600,2025-09-30,125100
"GLENVIEW CAPITAL MANAGEMENT, LLC",371972,2025-09-30,371972
