date,close
2025-12-31,271.86
2025-12-30,273.08
2025-12-29,273.76
2025-12-26,273.4
2025-12-24,273.81
2025-12-23,272.36
2025-12-22,270.97
2025-12-19,273.67
2025-12-18,272.19
2025-12-17,271.84
2025-12-16,274.61
2025-12-15,274.11
2025-12-12,278.28
2025-12-11,278.03
2025-12-10,278.78
2025-12-09,277.18
2025-12-08,277.89
2025-12-05,278.78
2025-12-04,280.7
2025-12-03,284.15
2025-12-02,286.19
2025-12-01,283.1
2025-11-28,278.85
2025-11-26,277.55
2025-11-25,276.97
2025-11-24,275.92
2025-11-21,271.49
2025-11-20,266.25
2025-11-19,268.56
2025-11-18,267.44
2025-11-17,267.46
2025-11-14,272.41
2025-11-13,272.95
2025-11-12,273.47
2025-11-11,275.25
2025-11-10,269.43
2025-11-07,268.47
2025-11-06,269.77
2025-11-05,270.14
2025-11-04,270.04
2025-11-03,269.05
2025-10-31,270.37
2025-10-30,271.4
2025-10-29,269.7
2025-10-28,269.0
2025-10-27,268.81
2025-10-24,262.82
2025-10-23,259.58
2025-10-22,258.45
2025-10-21,262.77
2025-10-20,262.24
2025-10-17,252.29
2025-10-16,247.45
2025-10-15,249.34
2025-10-14,247.77
2025-10-13,247.66
2025-10-10,245.27
2025-10-09,254.04
2025-10-08,258.06
2025-10-07,256.48
2025-10-06,256.69
2025-10-03,258.02
2025-10-02,257.13
2025-10-01,255.45
2025-09-30,254.63
2025-09-29,254.43
2025-09-26,255.46
2025-09-25,256.87
2025-09-24,252.31
2025-09-23,254.43
2025-09-22,256.08
2025-09-19,245.5
2025-09-18,237.88
2025-09-17,238.99
2025-09-16,238.15
2025-09-15,236.7
2025-09-12,234.07
2025-09-11,230.03
2025-09-10,226.79
2025-09-09,234.35
2025-09-08,237.88
2025-09-05,239.69
2025-09-04,239.78
2025-09-03,238.47
2025-09-02,229.72
2025-08-29,232.14
2025-08-28,232.56
2025-08-27,230.49
2025-08-26,229.31
2025-08-25,227.16
2025-08-22,227.76
2025-08-21,224.9
2025-08-20,226.01
2025-08-19,230.56
2025-08-18,230.89
2025-08-15,231.59
2025-08-14,232.78
2025-08-13,233.33
2025-08-12,229.65
2025-08-11,227.18
2025-08-08,229.35
2025-08-07,220.03
2025-08-06,213.25
2025-08-05,202.92
2025-08-04,203.35
2025-08-01,202.38
2025-07-31,207.57
2025-07-30,209.05
2025-07-29,211.27
2025-07-28,214.05
2025-07-25,213.88
2025-07-24,213.76
2025-07-23,214.15
2025-07-22,214.4
2025-07-21,212.48
2025-07-18,211.18
2025-07-17,210.02
2025-07-16,210.16
2025-07-15,209.11
2025-07-14,208.62
2025-07-11,211.16
2025-07-10,212.41
2025-07-09,211.14
2025-07-08,210.01
2025-07-07,209.95
2025-07-03,213.55
2025-07-02,212.44
2025-07-01,207.82
2025-06-30,205.17
2025-06-27,201.08
2025-06-26,201.0
2025-06-25,201.56
2025-06-24,200.3
2025-06-23,201.5
2025-06-20,201.0
2025-06-18,196.58
2025-06-17,195.64
2025-06-16,198.42
2025-06-13,196.45
2025-06-12,199.2
2025-06-11,198.78
2025-06-10,202.67
2025-06-09,201.45
2025-06-06,203.92
2025-06-05,200.63
2025-06-04,202.82
2025-06-03,203.27
2025-06-02,201.7
2025-05-30,200.85
2025-05-29,199.95
2025-05-28,200.42
2025-05-27,200.21
2025-05-23,195.27
2025-05-22,201.36
2025-05-21,202.09
2025-05-20,206.86
2025-05-19,208.78
2025-05-16,211.26
2025-05-15,211.45
2025-05-14,212.33
2025-05-13,212.93
2025-05-12,210.79
2025-05-09,198.53
2025-05-08,197.49
2025-05-07,196.25
2025-05-06,198.51
2025-05-05,198.89
2025-05-02,205.35
2025-05-01,213.32
2025-04-30,212.5
2025-04-29,211.21
2025-04-28,210.14
2025-04-25,209.28
2025-04-24,208.37
2025-04-23,204.6
2025-04-22,199.74
2025-04-21,193.16
2025-04-17,196.98
2025-04-16,194.27
2025-04-15,202.14
2025-04-14,202.52
2025-04-11,198.15
2025-04-10,190.42
2025-04-09,198.85
2025-04-08,172.42
2025-04-07,181.46
2025-04-04,188.38
2025-04-03,203.19
2025-04-02,223.89
2025-04-01,223.19
2025-03-31,222.13
2025-03-28,217.9
2025-03-27,223.85
2025-03-26,221.53
2025-03-25,223.75
2025-03-24,220.73
2025-03-21,218.27
2025-03-20,214.1
2025-03-19,215.24
2025-03-18,212.69
2025-03-17,214.0
2025-03-14,213.49
2025-03-13,209.68
2025-03-12,216.98
2025-03-11,220.84
2025-03-10,227.48
2025-03-07,239.07
2025-03-06,235.33
2025-03-05,235.74
2025-03-04,235.93
2025-03-03,238.03
2025-02-28,241.84
2025-02-27,237.3
2025-02-26,240.36
2025-02-25,247.04
2025-02-24,247.1
2025-02-21,245.55
2025-02-20,245.83
2025-02-19,244.87
2025-02-18,244.47
2025-02-14,244.6
2025-02-13,241.53
2025-02-12,236.87
2025-02-11,232.62
2025-02-10,227.65
2025-02-07,227.63
2025-02-06,233.22
2025-02-05,232.47
2025-02-04,232.8
2025-02-03,228.01
2025-01-31,236.0
2025-01-30,237.59
2025-01-29,239.36
2025-01-28,238.26
2025-01-27,229.86
2025-01-24,222.78
2025-01-23,223.66
2025-01-22,223.83
2025-01-21,222.64
2025-01-17,229.98
2025-01-16,228.26
2025-01-15,237.87
2025-01-14,233.28
2025-01-13,234.4
2025-01-10,236.85
2025-01-08,242.7
2025-01-07,242.21
2025-01-06,245.0
2025-01-03,243.36
2025-01-02,243.85
2024-12-31,250.42
2024-12-30,252.2
2024-12-27,255.59
2024-12-26,259.02
2024-12-24,258.2
2024-12-23,255.27
2024-12-20,254.49
2024-12-19,249.79
2024-12-18,248.05
2024-12-17,253.48
2024-12-16,251.04
2024-12-13,248.13
2024-12-12,247.96
2024-12-11,246.49
2024-12-10,247.77
2024-12-09,246.75
2024-12-06,242.84
2024-12-05,243.04
2024-12-04,243.01
2024-12-03,242.65
2024-12-02,239.59
2024-11-29,237.33
2024-11-27,234.93
2024-11-26,235.06
2024-11-25,232.87
2024-11-22,229.87
2024-11-21,228.52
2024-11-20,229.0
2024-11-19,228.28
2024-11-18,228.02
2024-11-15,225.0
2024-11-14,228.22
2024-11-13,225.12
2024-11-12,224.23
2024-11-11,224.23
2024-11-08,226.96
2024-11-07,227.48
2024-11-06,222.72
2024-11-05,223.45
2024-11-04,222.01
2024-11-01,222.91
2024-10-31,225.91
2024-10-30,230.1
2024-10-29,233.67
2024-10-28,233.4
2024-10-25,231.41
2024-10-24,230.57
2024-10-23,230.76
2024-10-22,235.86
2024-10-21,236.48
2024-10-18,235.0
2024-10-17,232.15
2024-10-16,231.78
2024-10-15,233.85
2024-10-14,231.3
2024-10-11,227.55
2024-10-10,229.04
2024-10-09,229.54
2024-10-08,225.77
2024-10-07,221.69
2024-10-04,226.8
2024-10-03,225.67
2024-10-02,226.78
2024-10-01,226.21
2024-09-30,233.0
2024-09-27,227.79
2024-09-26,227.52
2024-09-25,226.37
2024-09-24,227.37
2024-09-23,226.47
2024-09-20,228.2
2024-09-19,228.87
2024-09-18,220.69
2024-09-17,216.79
2024-09-16,216.32
2024-09-13,222.5
2024-09-12,222.77
2024-09-11,222.66
2024-09-10,220.11
2024-09-09,220.91
2024-09-06,220.82
2024-09-05,222.38
2024-09-04,220.85
2024-09-03,222.77
2024-08-30,229.0
2024-08-29,229.79
2024-08-28,226.49
2024-08-27,228.03
2024-08-26,227.18
2024-08-23,226.84
2024-08-22,224.53
2024-08-21,226.4
2024-08-20,226.51
2024-08-19,225.89
2024-08-16,226.05
2024-08-15,224.72
2024-08-14,221.72
2024-08-13,221.27
2024-08-12,217.53
2024-08-09,216.24
2024-08-08,213.31
2024-08-07,209.82
2024-08-06,207.23
2024-08-05,209.27
2024-08-02,219.86
2024-08-01,218.36
2024-07-31,222.08
2024-07-30,218.8
2024-07-29,218.24
2024-07-26,217.96
2024-07-25,217.49
2024-07-24,218.54
2024-07-23,225.01
2024-07-22,223.96
2024-07-19,224.31
