holder,shares,dateReported,change
VANGUARD GROUP INC,17932373,2025-09-30,-505949
"BlackRock, Inc.",11887082,2025-09-30,-284134
MORGAN STANLEY,7237878,2025-09-30,658935
STATE STREET CORP,5753393,2025-09-30,-105190
WELLINGTON MANAGEMENT GROUP LLP,5115133,2025-09-30,3978026
"GEODE CAPITAL MANAGEMENT, LLC",4927178,2025-09-30,864669
Invesco Ltd.,3946028,2025-09-30,283303
PRICE T ROWE ASSOCIATES INC /MD/,3350144,2025-09-30,-5497787
Neuberger Berman Group LLC,3307116,2025-09-30,807147
MAVERICK CAPITAL LTD,3012654,2025-09-30,3012654
AMERIPRISE FINANCIAL INC,2815161,2025-09-30,-621805
MAIRS & POWER INC,2807409,2025-09-30,91031
DF DENT & CO INC,2780961,2025-09-30,56219
MACKENZIE FINANCIAL CORP,2559590,2025-09-30,-59511
BAMCO INC /NY/,2496323,2025-09-30,-298824
"Sumitomo Mitsui Trust Holdings, Inc.",2355618,2025-09-30,5906
"RGM Capital, LLC",2300052,2025-09-30,100000
"Select Equity Group, L.P.",2251593,2025-09-30,-667902
AMERICAN CENTURY COMPANIES INC,2037806,2025-09-30,894987
Bank of New York Mellon Corp,1930042,2025-09-30,6950
BROWN ADVISORY INC,1865601,2025-09-30,90240
MACQUARIE GROUP LTD,1830994,2025-09-30,33408
SNYDER CAPITAL MANAGEMENT L P,1719135,2025-09-30,384694
DIMENSIONAL FUND ADVISORS LP,1710513,2025-09-30,49172
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",1709662,2025-09-30,737577
"Champlain Investment Partners, LLC",1702243,2025-09-30,-963441
Capital Research Global Investors,1625502,2025-09-30,619552
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1579640,2025-09-30,27200
GOLDMAN SACHS GROUP INC,1536138,2025-09-30,-130099
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1517490,2025-09-30,-138448
UBS Group AG,1509436,2025-09-30,517050
"Ruane, Cunniff & Goldfarb L.P.",1473755,2025-09-30,1321338
NORTHERN TRUST CORP,1421713,2025-09-30,-3805
Durable Capital Partners LP,1395966,2025-09-30,1395966
GENEVA CAPITAL MANAGEMENT LLC,1185008,2025-09-30,-91
BANK OF AMERICA CORP /DE/,1179150,2025-09-30,155230
"T. Rowe Price Investment Management, Inc.",1171847,2025-09-30,-66248
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",1135896,2025-09-30,767821
Quantinno Capital Management LP,1042944,2025-09-30,389533
BROWN CAPITAL MANAGEMENT LLC,1035930,2025-09-30,-537673
"Aristotle Atlantic Partners, LLC",1027331,2025-09-30,-24946
Stephens Investment Management Group LLC,1015189,2025-09-30,169666
AMERICAN CAPITAL MANAGEMENT INC,960447,2025-09-30,8833
"Clearbridge Investments, LLC",954831,2025-09-30,541024
"Nuveen, LLC",950824,2025-09-30,619994
ALLIANCEBERNSTEIN L.P.,917329,2025-09-30,736241
RIVERBRIDGE PARTNERS LLC,906442,2025-09-30,-48447
BALYASNY ASSET MANAGEMENT L.P.,805826,2025-09-30,805826
"WEITZ INVESTMENT MANAGEMENT, INC.",802150,2025-09-30,0
"Madison Asset Management, LLC",744651,2025-09-30,744651
DEUTSCHE BANK AG\,732969,2025-09-30,15378
ROYAL BANK OF CANADA,729993,2025-09-30,34698
JPMORGAN CHASE & CO,725085,2025-09-30,-633738
Freestone Grove Partners LP,711980,2025-09-30,711980
RAYMOND JAMES FINANCIAL INC,670231,2025-09-30,-21859
"Cresset Asset Management, LLC",668117,2025-09-30,28344
ROYCE & ASSOCIATES LP,660034,2025-09-30,-210853
"Eversept Partners, LP",591540,2025-09-30,197401
SEI INVESTMENTS CO,562951,2025-09-30,-72551
CRAMER ROSENTHAL MCGLYNN LLC,559189,2025-09-30,37200
UBS ASSET MANAGEMENT AMERICAS INC,555932,2025-09-30,-262206
"SEGALL BRYANT & HAMILL, LLC",530921,2025-09-30,-34680
"CI Private Wealth, LLC",478229,2025-09-30,104036
FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,474320,2025-09-30,35165
Walleye Capital LLC,443174,2025-09-30,443174
FMR LLC,385512,2025-09-30,7490
"Pembroke Management, LTD",376977,2025-09-30,37189
"GLENVIEW CAPITAL MANAGEMENT, LLC",374051,2025-09-30,374051
PALO DS MANAGER LLC,370629,2025-09-30,79673
"NICHOLAS COMPANY, INC.",367009,2025-09-30,108350
Montanaro Asset Management Ltd,362050,2025-09-30,67100
ArrowMark Colorado Holdings LLC,336014,2025-09-30,-330591
Legal & General Group Plc,323098,2025-09-30,-233735
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,321384,2025-09-30,0
"Conestoga Capital Advisors, LLC",305483,2025-09-30,-26429
BI Asset Management Fondsmaeglerselskab A/S,305087,2025-09-30,10804
Swiss National Bank,303800,2025-09-30,2200
Summit Creek Advisors LLC,303725,2025-09-30,-16450
Amundi,303716,2025-09-30,18542
RHUMBLINE ADVISERS,301167,2025-09-30,6546
ENVESTNET ASSET MANAGEMENT INC,285636,2025-09-30,5124
BARCLAYS PLC,284847,2025-09-30,-104310
"LORD, ABBETT & CO. LLC",260854,2025-09-30,-19676
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,257889,2025-09-30,52315
"BNP PARIBAS ARBITRAGE, SNC",250896,2025-09-30,-166664
TUDOR INVESTMENT CORP ET AL,242016,2025-09-30,242016
BLI - Banque de Luxembourg Investments,235600,2025-09-30,19600
STATE OF WISCONSIN INVESTMENT BOARD,234571,2025-09-30,-11509
VAN ECK ASSOCIATES CORP,233241,2025-09-30,-52779
THRIVENT FINANCIAL FOR LUTHERANS,225820,2025-09-30,1814
"WCM INVESTMENT MANAGEMENT, LLC",217380,2025-09-30,217380
CITADEL ADVISORS LLC,217179,2025-09-30,-2253683
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,211832,2025-09-30,-4414
Meridiem Capital Partners LP,210947,2025-09-30,210947
HSBC HOLDINGS PLC,206501,2025-09-30,-19630
MILLENNIUM MANAGEMENT LLC,205616,2025-09-30,-1435033
CITIGROUP INC,197392,2025-09-30,-97843
