holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-3
VANGUARD GROUP INC,23252921,2025-09-30,494674
"BlackRock, Inc.",14435716,2025-09-30,-421228
PRICE T ROWE ASSOCIATES INC /MD/,12462449,2025-09-30,-903257
STATE STREET CORP,7675550,2025-09-30,-30385
"GEODE CAPITAL MANAGEMENT, LLC",4991650,2025-09-30,-29312
Bank of New York Mellon Corp,4983535,2025-09-30,-445218
"CIBC Private Wealth Group, LLC",4366843,2025-09-30,776004
JPMORGAN CHASE & CO,3544588,2025-09-30,622275
"T. Rowe Price Investment Management, Inc.",3315295,2025-09-30,369953
MORGAN STANLEY,3068574,2025-09-30,-334320
Invesco Ltd.,2858399,2025-09-30,-472925
GOLDMAN SACHS GROUP INC,2674388,2025-09-30,393908
Capital World Investors,2370053,2025-09-30,-197627
Boston Partners,2078262,2025-09-30,2078262
LAZARD ASSET MANAGEMENT LLC,2054044,2025-09-30,120564
FMR LLC,1772052,2025-09-30,-39417
NORTHERN TRUST CORP,1757250,2025-09-30,-97007
"Clearbridge Investments, LLC",1611698,2025-09-30,-66949
"TWO SIGMA INVESTMENTS, LP",1576470,2025-09-30,1362697
AMERIPRISE FINANCIAL INC,1499127,2025-09-30,-50639
WELLINGTON MANAGEMENT GROUP LLP,1301559,2025-09-30,-104070
Legal & General Group Plc,1297919,2025-09-30,18201
FIRST TRUST ADVISORS LP,1264995,2025-09-30,-256059
"TWO SIGMA ADVISERS, LP",1260400,2025-09-30,1152300
DIMENSIONAL FUND ADVISORS LP,1167203,2025-09-30,-47393
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1131715,2025-09-30,-179004
UBS ASSET MANAGEMENT AMERICAS INC,1090259,2025-09-30,-446010
LONDON CO OF VIRGINIA,1088681,2025-09-30,-56791
CITIGROUP INC,1040681,2025-09-30,329895
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",982066,2025-09-30,563254
FAYEZ SAROFIM & CO,973635,2025-09-30,-4494
BANK OF AMERICA CORP /DE/,970654,2025-09-30,-66526
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,938393,2025-09-30,-31078
DEUTSCHE BANK AG\,919137,2025-09-30,124105
UBS Group AG,893043,2025-09-30,299800
"Nuveen, LLC",855163,2025-09-30,-143147
TD ASSET MANAGEMENT INC,819704,2025-09-30,105135
FRANKLIN RESOURCES INC,817695,2025-09-30,-259976
CITADEL ADVISORS LLC,806742,2025-09-30,712869
THRIVENT FINANCIAL FOR LUTHERANS,738229,2025-09-30,-21347
MACQUARIE GROUP LTD,733471,2025-09-30,-418257
Amundi,704965,2025-09-30,129002
BRIDGES INVESTMENT MANAGEMENT INC,687625,2025-09-30,-1336
MILLENNIUM MANAGEMENT LLC,638266,2025-09-30,84181
"EVENTIDE ASSET MANAGEMENT, LLC",606679,2025-09-30,7848
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,604676,2025-09-30,285642
BARCLAYS PLC,601937,2025-09-30,-91266
"Quantum Capital Management, LLC / NJ",594391,2025-09-30,123271
"BNP PARIBAS ARBITRAGE, SNC",594065,2025-09-30,142796
Swiss National Bank,548300,2025-09-30,-30300
"Sumitomo Mitsui Trust Holdings, Inc.",478728,2025-09-30,1377
Fisher Funds Management LTD,468469,2025-09-30,468469
"NATIXIS ADVISORS, L.P.",435111,2025-09-30,-50367
ENVESTNET ASSET MANAGEMENT INC,417274,2025-09-30,-5163
ROYAL BANK OF CANADA,416454,2025-09-30,66887
WELLS FARGO & COMPANY/MN,414600,2025-09-30,23660
Bristol Gate Capital Partners Inc.,405255,2025-09-30,-15773
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",396862,2025-09-30,20585
HSBC HOLDINGS PLC,383029,2025-09-30,19624
BROWN ADVISORY INC,380079,2025-09-30,-30817
AMERICAN CENTURY COMPANIES INC,375352,2025-09-30,37740
"JANE STREET GROUP, LLC",361821,2025-09-30,256060
MARKEL GROUP INC.,358750,2025-09-30,16300
"Epoch Investment Partners, Inc.",353918,2025-09-30,80147
RHUMBLINE ADVISERS,351607,2025-09-30,-10315
RENAISSANCE TECHNOLOGIES LLC,349582,2025-09-30,349582
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",332902,2025-09-30,-172322
DF DENT & CO INC,329774,2025-09-30,-291535
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,325695,2025-09-30,-7932
WORLDQUANT MILLENNIUM ADVISORS LLC,313741,2025-09-30,234316
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,313269,2025-09-30,116206
Squarepoint Ops LLC,304933,2025-09-30,272242
STIFEL FINANCIAL CORP,300242,2025-09-30,-5220
