holder,shares,dateReported,change
VANGUARD GROUP INC,24815463,2025-09-30,150892
FMR LLC,22666598,2025-09-30,-2111577
"BlackRock, Inc.",20074776,2025-09-30,362445
STATE STREET CORP,11238278,2025-09-30,140500
"GEODE CAPITAL MANAGEMENT, LLC",6180299,2025-09-30,71815
JPMORGAN CHASE & CO,5747582,2025-09-30,4197635
MORGAN STANLEY,5369008,2025-09-30,140930
Capital International Investors,5073899,2025-09-30,-2401367
COATUE MANAGEMENT LLC,3634166,2025-09-30,-121094
NORTHERN TRUST CORP,2877458,2025-09-30,51738
GOLDMAN SACHS GROUP INC,2594001,2025-09-30,-42146
PRICE T ROWE ASSOCIATES INC /MD/,2581269,2025-09-30,39386
BANK OF AMERICA CORP /DE/,2468998,2025-09-30,371876
Invesco Ltd.,2375738,2025-09-30,158481
Bank of New York Mellon Corp,2267266,2025-09-30,-635173
Capital World Investors,2156197,2025-09-30,2048792
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1918959,2025-09-30,-77060
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1876623,2025-09-30,76113
UBS ASSET MANAGEMENT AMERICAS INC,1798799,2025-09-30,-135257
WELLINGTON MANAGEMENT GROUP LLP,1784610,2025-09-30,-576633
Newport Trust Co,1691076,2025-09-30,-21622
Legal & General Group Plc,1652711,2025-09-30,20748
"Baird Financial Group, Inc.",1651282,2025-09-30,95179
"Nuveen, LLC",1650646,2025-09-30,321683
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",1484781,2025-09-30,-23536
UBS Group AG,1406151,2025-09-30,171756
Amundi,1371319,2025-09-30,11864
FRANKLIN RESOURCES INC,1175729,2025-09-30,740339
AQR CAPITAL MANAGEMENT LLC,1158362,2025-09-30,129848
TIGER GLOBAL MANAGEMENT LLC,1154594,2025-09-30,56800
VICTORY CAPITAL MANAGEMENT INC,1139115,2025-09-30,-66329
Artisan Partners Limited Partnership,1065080,2025-09-30,-273970
ROYAL BANK OF CANADA,1055889,2025-09-30,43144
CITIGROUP INC,986344,2025-09-30,-54287
RAYMOND JAMES FINANCIAL INC,934272,2025-09-30,-10295
ALLIANCEBERNSTEIN L.P.,913542,2025-09-30,-186429
"TWO SIGMA ADVISERS, LP",861400,2025-09-30,170221
SCHRODER INVESTMENT MANAGEMENT GROUP,835168,2025-09-30,-129914
DEUTSCHE BANK AG\,832340,2025-09-30,115474
WELLS FARGO & COMPANY/MN,805221,2025-09-30,161477
TD ASSET MANAGEMENT INC,801083,2025-09-30,-130914
Swiss National Bank,786765,2025-09-30,-40700
"FEDERATED HERMES, INC.",773077,2025-09-30,107249
RENAISSANCE TECHNOLOGIES LLC,716282,2025-09-30,-460120
"Sumitomo Mitsui Trust Holdings, Inc.",682099,2025-09-30,4662
"WCM INVESTMENT MANAGEMENT, LLC",681672,2025-09-30,22221
"Bridgewater Associates, LP",651092,2025-09-30,-127171
FIRST TRUST ADVISORS LP,650643,2025-09-30,203600
AMERIPRISE FINANCIAL INC,647330,2025-09-30,1072
"JANE STREET GROUP, LLC",632227,2025-09-30,-205041
DIMENSIONAL FUND ADVISORS LP,628755,2025-09-30,3597
BLAIR WILLIAM & CO/IL,628121,2025-09-30,-4685
BARCLAYS PLC,605633,2025-09-30,4339
"BNP PARIBAS ARBITRAGE, SNC",599148,2025-09-30,167897
AMERICAN CENTURY COMPANIES INC,584526,2025-09-30,-75851
AXIOM INVESTORS LLC /DE,578186,2025-09-30,7828
HSBC HOLDINGS PLC,562903,2025-09-30,130117
NORDEA INVESTMENT MANAGEMENT AB,561213,2025-09-30,323481
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",546202,2025-09-30,22913
RHUMBLINE ADVISERS,496461,2025-09-30,-8504
National Pension Service,490434,2025-09-30,3294
CANADA PENSION PLAN INVESTMENT BOARD,476952,2025-09-30,83411
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,471819,2025-09-30,12803
Robeco Institutional Asset Management B.V.,469863,2025-09-30,168157
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",466511,2025-09-30,-1844196
"Mariner, LLC",463346,2025-09-30,37396
Temasek Holdings (Private) Ltd,458897,2025-09-30,-10700
ENVESTNET ASSET MANAGEMENT INC,456831,2025-09-30,25658
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,436397,2025-09-30,2005
Waverton Investment Management Ltd,420437,2025-09-30,-58015
"TWO SIGMA INVESTMENTS, LP",410503,2025-09-30,-48551
PRINCIPAL FINANCIAL GROUP INC,406661,2025-09-30,-41933
Allen Investment Management LLC,395684,2025-09-30,-56300
BANK OF MONTREAL /CAN/,377325,2025-09-30,35772
"Ensign Peak Advisors, Inc",373084,2025-09-30,-2461
PRUDENTIAL FINANCIAL INC,368642,2025-09-30,-1902
"CIBC Private Wealth Group, LLC",357214,2025-09-30,178620
LPL Financial LLC,341181,2025-09-30,36059
WORLDQUANT MILLENNIUM ADVISORS LLC,331141,2025-09-30,149654
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",331043,2025-09-30,143436
"PNC FINANCIAL SERVICES GROUP, INC.",327044,2025-09-30,131501
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",326349,2025-09-30,39919
NEW YORK STATE COMMON RETIREMENT FUND,326008,2025-09-30,-23580
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",322510,2025-09-30,134221
Allianz Asset Management GmbH,314155,2025-09-30,90429
Rockefeller Capital Management L.P.,307341,2025-09-30,-2176
MARSICO CAPITAL MANAGEMENT LLC,302492,2025-09-30,-11584
STIFEL FINANCIAL CORP,291564,2025-09-30,25197
FIRST MANHATTAN CO. LLC.,275727,2025-09-30,3129
SEI INVESTMENTS CO,270540,2025-09-30,-47521
"SUMMIT PARTNERS PUBLIC ASSET MANAGEMENT, LLC",268322,2025-09-30,0
WESTFIELD CAPITAL MANAGEMENT CO LP,265736,2025-09-30,-59552
1832 Asset Management L.P.,263497,2025-09-30,-360978
"D. E. Shaw & Co., Inc.",260895,2025-09-30,-20964
"NATIXIS ADVISORS, L.P.",260425,2025-09-30,-5103
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,251483,2025-09-30,-14888
Neuberger Berman Group LLC,240672,2025-09-30,-899
"ADAGE CAPITAL PARTNERS GP, L.L.C.",240499,2025-09-30,4500
Avala Global LP,239901,2025-09-30,-8300
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,230288,2025-09-30,-14340
Squarepoint Ops LLC,227387,2025-09-30,3185
BNP Paribas Asset Management Holding S.A.,227022,2025-09-30,-20645
NATIONAL BANK OF CANADA /FI/,224699,2025-09-30,12204
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",219215,2025-09-30,-7261
AVIVA PLC,218110,2025-09-30,13024
Polar Capital Holdings Plc,212545,2025-09-30,-277570
Qube Research & Technologies Ltd,203111,2025-09-30,-560115
"Russell Investments Group, Ltd.",202453,2025-09-30,-11611
BESSEMER GROUP INC,200663,2025-09-30,16041
DSM CAPITAL PARTNERS LLC,198177,2025-09-30,1186
Zurich Insurance Group Ltd/FI,196460,2025-09-30,-48951
"Electron Capital Partners, LLC",194548,2025-09-30,3281
CONSOLIDATED PRESS INTERNATIONAL HOLDINGS LTD,194250,2025-09-30,0
"EVENTIDE ASSET MANAGEMENT, LLC",192698,2025-09-30,-7709
STRS OHIO,187249,2025-09-30,-6223
Pictet Asset Management Holding SA,182828,2025-09-30,-7543
BOWEN HANES & CO INC,181483,2025-09-30,-3235
ROYAL LONDON ASSET MANAGEMENT LTD,177313,2025-09-30,24628
SIRIOS CAPITAL MANAGEMENT L P,176544,2025-09-30,-3639
AGF MANAGEMENT LTD,173535,2025-09-30,540
NOMURA ASSET MANAGEMENT CO LTD,172442,2025-09-30,-40016
"HighTower Advisors, LLC",170806,2025-09-30,6645
Universal- Beteiligungs- und Servicegesellschaft mbH,169377,2025-09-30,-1683
"Toroso Investments, LLC",168909,2025-09-30,47388
MILLENNIUM MANAGEMENT LLC,166969,2025-09-30,24027
Zurcher Kantonalbank (Zurich Cantonalbank),165494,2025-09-30,-17125
BANK OF NOVA SCOTIA,165059,2025-09-30,106038
STATE OF WISCONSIN INVESTMENT BOARD,157421,2025-09-30,-151
Munro Partners,155543,2025-09-30,-27345
Swedbank AB,154872,2025-09-30,-7474
DODGE & COX,153740,2025-09-30,-8481
DekaBank Deutsche Girozentrale,151508,2025-09-30,0
"Anomaly Capital Management, LP",149400,2025-09-30,149400
DANSKE BANK A/S,148150,2025-09-30,772
Calamos Advisors LLC,145397,2025-09-30,-144
"JACOBS LEVY EQUITY MANAGEMENT, INC",145075,2025-09-30,-338725
"Chevy Chase Trust Holdings, LLC",140928,2025-09-30,-5188
CITADEL ADVISORS LLC,140884,2025-09-30,129256
Skandinaviska Enskilda Banken AB (publ),140882,2025-09-30,74549
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,140233,2025-09-30,3920
Slate Path Capital LP,137358,2025-09-30,-88440
ING GROEP NV,134193,2025-09-30,31479
"COMMONWEALTH EQUITY SERVICES, LLC",131789,2025-09-30,1668
Korea Investment CORP,129080,2025-09-30,-126795
VOYA INVESTMENT MANAGEMENT LLC,126859,2025-09-30,-10136
"Asset Management One Co., Ltd.",125965,2025-09-30,-1090
NATIXIS,125670,2025-09-30,112912
TEACHER RETIREMENT SYSTEM OF TEXAS,123082,2025-09-30,-18702
Treasurer of the State of North Carolina,122926,2025-09-30,-4789
ACADIAN ASSET MANAGEMENT LLC,122866,2025-09-30,-95571
"GREAT LAKES ADVISORS, LLC",120025,2025-09-30,-43618
abrdn plc,119759,2025-09-30,10339
GROUPAMA ASSET MANAGMENT,119019,2025-09-30,10392
Mitsubishi UFJ Trust & Banking Corp,118293,2025-09-30,-2198
TORONTO DOMINION BANK,116920,2025-09-30,-46893
LOS ANGELES CAPITAL MANAGEMENT LLC,116105,2025-09-30,103463
Cetera Investment Advisers,115721,2025-09-30,17255
Candriam S.C.A.,111578,2025-09-30,-32082
Man Group plc,110267,2025-09-30,8154
"Valiant Capital Management, L.P.",109217,2025-09-30,-52936
AustralianSuper Pty Ltd,109129,2025-09-30,68442
KLP KAPITALFORVALTNING AS,107310,2025-09-30,2600
CREDIT AGRICOLE S A,106361,2025-09-30,106361
SAPIENT CAPITAL LLC,104536,2025-09-30,-1479
