holder,shares,dateReported,change
"T. Rowe Price Investment Management, Inc.",17781388,2025-09-30,-2590420
VANGUARD GROUP INC,14718806,2025-09-30,-30165
"BlackRock, Inc.",11834219,2025-09-30,-57605
STATE STREET CORP,5593645,2025-09-30,221349
"GEODE CAPITAL MANAGEMENT, LLC",3499359,2025-09-30,83574
JANUS HENDERSON GROUP PLC,3486284,2025-09-30,743325
Pictet Asset Management Holding SA,3014692,2025-09-30,120573
PRICE T ROWE ASSOCIATES INC /MD/,2983806,2025-09-30,1956820
WELLINGTON MANAGEMENT GROUP LLP,2586773,2025-09-30,-439093
EAGLE CAPITAL MANAGEMENT LLC,2497626,2025-09-30,881
Lombard Odier Asset Management (Europe) Ltd,1852458,2025-09-30,1727155
Standard Investments LLC,1586000,2025-09-30,150000
LAZARD ASSET MANAGEMENT LLC,1524976,2025-09-30,-22646
NORTHERN TRUST CORP,1379890,2025-09-30,34663
Invesco Ltd.,1349103,2025-09-30,-96418
"Select Equity Group, L.P.",1148097,2025-09-30,373020
MORGAN STANLEY,1105610,2025-09-30,237463
FERNBRIDGE CAPITAL MANAGEMENT LP,1093360,2025-09-30,-961693
UBS ASSET MANAGEMENT AMERICAS INC,1022049,2025-09-30,-468534
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,1021896,2025-09-30,1477
BARCLAYS PLC,994888,2025-09-30,699972
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,906443,2025-09-30,28701
FRANKLIN RESOURCES INC,899573,2025-09-30,-127610
"Sumitomo Mitsui Trust Holdings, Inc.",816385,2025-09-30,-7627
JPMORGAN CHASE & CO,782385,2025-09-30,7331
FIL Ltd,737576,2025-09-30,-511206
Impax Asset Management Group plc,729164,2025-09-30,-21958
Bank of New York Mellon Corp,693628,2025-09-30,-28261
CCLA Investment Management,686881,2025-09-30,137603
Legal & General Group Plc,641037,2025-09-30,-9043
Liontrust Investment Partners LLP,638716,2025-09-30,-35296
BANK OF AMERICA CORP /DE/,638368,2025-09-30,95341
Amundi,627997,2025-09-30,-11929
RAYMOND JAMES FINANCIAL INC,626292,2025-09-30,-139611
DEUTSCHE BANK AG\,579943,2025-09-30,-91443
DIMENSIONAL FUND ADVISORS LP,579297,2025-09-30,-38
"Nuveen, LLC",536753,2025-09-30,-912345
TD ASSET MANAGEMENT INC,502558,2025-09-30,-67768
Palestra Capital Management LLC,473259,2025-09-30,-536018
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",465814,2025-09-30,417130
FMR LLC,423864,2025-09-30,-176958
Robeco Schweiz AG,397181,2025-09-30,-78899
GOLDMAN SACHS GROUP INC,388992,2025-09-30,119626
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,379375,2025-09-30,-75404
ROYAL BANK OF CANADA,362566,2025-09-30,214142
Robeco Institutional Asset Management B.V.,361938,2025-09-30,197018
Swiss National Bank,345800,2025-09-30,-18400
HSBC HOLDINGS PLC,345072,2025-09-30,-89705
Stephens Investment Management Group LLC,342496,2025-09-30,-24612
AXA Investment Managers S.A.,337238,2025-09-30,337238
"FEDERATED HERMES, INC.",332137,2025-09-30,5505
DF DENT & CO INC,324407,2025-09-30,30286
AVIVA PLC,322760,2025-09-30,-39887
TUDOR INVESTMENT CORP ET AL,316793,2025-09-30,310663
UBS Group AG,308105,2025-09-30,-203069
Candriam S.C.A.,302266,2025-09-30,-18942
COMMERCE BANK,290225,2025-09-30,10428
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",288244,2025-09-30,63635
"RIVULET CAPITAL, LLC",275950,2025-09-30,-455500
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",269888,2025-09-30,15213
"BNP PARIBAS ARBITRAGE, SNC",250278,2025-09-30,-11278
Vontobel Holding Ltd.,250171,2025-09-30,38800
NEW YORK STATE COMMON RETIREMENT FUND,236790,2025-09-30,16330
Zurcher Kantonalbank (Zurich Cantonalbank),231437,2025-09-30,7640
RHUMBLINE ADVISERS,226764,2025-09-30,-3451
National Pension Service,220285,2025-09-30,3047
Junto Capital Management LP,215160,2025-09-30,-267421
NORDEA INVESTMENT MANAGEMENT AB,213911,2025-09-30,204077
Thematics Asset Management,211207,2025-09-30,19065
2Xideas AG,209680,2025-09-30,-55271
"Pacer Advisors, Inc.",195896,2025-09-30,124306
MACKENZIE FINANCIAL CORP,195764,2025-09-30,-15433
"Ampersand Capital Group, L.P.",193555,2025-09-30,6500
"Capital Investment Services of America, Inc.",189967,2025-09-30,-932
RENAISSANCE GROUP LLC,187924,2025-09-30,-5130
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,181744,2025-09-30,11
SCHRODER INVESTMENT MANAGEMENT GROUP,181458,2025-09-30,-18648
TORONTO DOMINION BANK,179850,2025-09-30,129086
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,179129,2025-09-30,-15207
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,170680,2025-09-30,-350014
APG Asset Management N.V.,166535,2025-09-30,-2500
"Alyeska Investment Group, L.P.",160097,2025-09-30,157797
"Baird Financial Group, Inc.",159137,2025-09-30,-99082
NORTH STAR ASSET MANAGEMENT INC,155938,2025-09-30,-411
"Clearbridge Investments, LLC",153115,2025-09-30,-175644
"Gotham Asset Management, LLC",152712,2025-09-30,75492
"JANE STREET GROUP, LLC",152451,2025-09-30,152451
PRINCIPAL FINANCIAL GROUP INC,147049,2025-09-30,2278
CONGRESS ASSET MANAGEMENT CO /MA,146492,2025-09-30,17134
"Daventry Group, LP",135340,2025-09-30,-112383
ALLIANCEBERNSTEIN L.P.,132922,2025-09-30,-40
"Independent Family Office, LLC",121934,2025-09-30,-3540
MILLENNIUM MANAGEMENT LLC,121853,2025-09-30,49532
"NICHOLAS COMPANY, INC.",120425,2025-09-30,-45
DekaBank Deutsche Girozentrale,115193,2025-09-30,0
"Fisher Asset Management, LLC",114766,2025-09-30,22139
MACQUARIE GROUP LTD,112978,2025-09-30,-21703
abrdn plc,111511,2025-09-30,10700
Freestone Grove Partners LP,110819,2025-09-30,-118001
"PARNASSUS INVESTMENTS, LLC",109308,2025-09-30,-846
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,109283,2025-09-30,-9485
"NATIXIS ADVISORS, L.P.",108115,2025-09-30,-1007
Investment Management Corp of Ontario,108016,2025-09-30,83854
CANADA PENSION PLAN INVESTMENT BOARD,106421,2025-09-30,-3997
BANK OF MONTREAL /CAN/,103961,2025-09-30,9376
WELLS FARGO & COMPANY/MN,102796,2025-09-30,6976
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,102382,2025-09-30,-33
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,101681,2025-09-30,11700
"Russell Investments Group, Ltd.",97087,2025-09-30,-1845
"Bank Julius Baer & Co. Ltd, Zurich",94690,2025-09-30,-39481
Allianz Asset Management GmbH,94666,2025-09-30,-4903
PALO DS MANAGER LLC,93572,2025-09-30,23638
THRIVENT FINANCIAL FOR LUTHERANS,93239,2025-09-30,5539
Skandinaviska Enskilda Banken AB (publ),90828,2025-09-30,6724
GREAT WEST LIFE ASSURANCE CO /CAN/,90503,2025-09-30,6098
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,89649,2025-09-30,37234
"Sea Cliff Partners Management, LP",87680,2025-09-30,-43320
Swedbank AB,86773,2025-09-30,1706
CITIGROUP INC,86680,2025-09-30,-116707
Mitsubishi UFJ Trust & Banking Corp,86288,2025-09-30,-1174
C WorldWide Group Holding A/S,85333,2025-09-30,-154
"ADAGE CAPITAL PARTNERS GP, L.L.C.",84100,2025-09-30,14200
Laurus Investment Counsel Inc.,83486,2025-09-30,-16379
AMERIPRISE FINANCIAL INC,82818,2025-09-30,56451
PEREGRINE CAPITAL MANAGEMENT LLC,82729,2025-09-30,-8522
"TWO SIGMA INVESTMENTS, LP",81648,2025-09-30,71275
Quantinno Capital Management LP,80038,2025-09-30,33086
STATE OF WISCONSIN INVESTMENT BOARD,79933,2025-09-30,8866
FLPUTNAM INVESTMENT MANAGEMENT CO,76991,2025-09-30,868
PRUDENTIAL FINANCIAL INC,76749,2025-09-30,8262
"Leeward Investments, LLC - MA",75744,2025-09-30,-2744
VICTORY CAPITAL MANAGEMENT INC,75490,2025-09-30,-11983
Universal- Beteiligungs- und Servicegesellschaft mbH,74462,2025-09-30,15211
La Banque Postale Asset Management SA,73818,2025-09-30,-4404
