holder,shares,dateReported,change
VANGUARD GROUP INC,11372970,2025-09-30,103784
"BlackRock, Inc.",9262117,2025-09-30,-453731
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,6183708,2025-09-30,-54600
HARRIS ASSOCIATES L P,4294607,2025-09-30,508350
STATE STREET CORP,4270180,2025-09-30,-34467
"First Eagle Investment Management, LLC",4265114,2025-09-30,-28435
DODGE & COX,3632191,2025-09-30,2353768
Artisan Partners Limited Partnership,3544838,2025-09-30,-34260
FMR LLC,3333684,2025-09-30,-143827
"T. Rowe Price Investment Management, Inc.",2840993,2025-09-30,966357
"GEODE CAPITAL MANAGEMENT, LLC",2579234,2025-09-30,-11881
Invesco Ltd.,2155708,2025-09-30,-123709
VICTORY CAPITAL MANAGEMENT INC,1327034,2025-09-30,-244911
NORTHERN TRUST CORP,1152218,2025-09-30,-7016
ALLIANCEBERNSTEIN L.P.,1096882,2025-09-30,58607
BAUPOST GROUP LLC/MA,1089065,2025-09-30,-225119
DIMENSIONAL FUND ADVISORS LP,984832,2025-09-30,30387
PRICE T ROWE ASSOCIATES INC /MD/,947587,2025-09-30,-71919
MORGAN STANLEY,901608,2025-09-30,25210
Burgundy Asset Management Ltd.,877476,2025-09-30,-16531
JANUS HENDERSON GROUP PLC,875232,2025-09-30,9140
WELLINGTON MANAGEMENT GROUP LLP,840853,2025-09-30,-20244
BARROW HANLEY MEWHINNEY & STRAUSS LLC,835070,2025-09-30,-186425
"ABRAMS CAPITAL MANAGEMENT, L.P.",720779,2025-09-30,0
AMERICAN CENTURY COMPANIES INC,692394,2025-09-30,-101179
Legal & General Group Plc,679513,2025-09-30,19515
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,604218,2025-09-30,-5395
GOLDMAN SACHS GROUP INC,583824,2025-09-30,181686
BANK OF AMERICA CORP /DE/,573505,2025-09-30,-171569
ALTRINSIC GLOBAL ADVISORS LLC,533698,2025-09-30,-70842
"Nuveen, LLC",528045,2025-09-30,-9806
"Atalan Capital Partners, LP",515300,2025-09-30,15300
Bank of New York Mellon Corp,491282,2025-09-30,-7850
"River Road Asset Management, LLC",489660,2025-09-30,158185
"Clarkston Capital Partners, LLC",449763,2025-09-30,-22008
Southpoint Capital Advisors LP,400000,2025-09-30,0
"PARNASSUS INVESTMENTS, LLC",352374,2025-09-30,10960
DEUTSCHE BANK AG\,338714,2025-09-30,7919
CRAWFORD INVESTMENT COUNSEL INC,331058,2025-09-30,14003
BARCLAYS PLC,310673,2025-09-30,-13601
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,304935,2025-09-30,-68892
UBS Group AG,292824,2025-09-30,14969
JPMORGAN CHASE & CO,292331,2025-09-30,39716
"Brandywine Global Investment Management, LLC",289742,2025-09-30,-10459
JOHNSON INVESTMENT COUNSEL INC,288448,2025-09-30,-636
Swiss National Bank,285810,2025-09-30,-15100
Amundi,278958,2025-09-30,-3554
"BRANDES INVESTMENT PARTNERS, LP",259612,2025-09-30,25782
Canoe Financial LP,257589,2025-09-30,22248
"Toroso Investments, LLC",255679,2025-09-30,216124
"Sumitomo Mitsui Trust Holdings, Inc.",250616,2025-09-30,1055
SOUND SHORE MANAGEMENT INC /CT/,247551,2025-09-30,-9577
SEI INVESTMENTS CO,235809,2025-09-30,10908
POLEN CAPITAL MANAGEMENT LLC,219784,2025-09-30,-94291
BALYASNY ASSET MANAGEMENT L.P.,213089,2025-09-30,209930
"Russell Investments Group, Ltd.",211465,2025-09-30,-28760
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,199412,2025-09-30,-225522
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",196833,2025-09-30,3454
CORTLAND ASSOCIATES INC/MO,190099,2025-09-30,-390
"BNP PARIBAS ARBITRAGE, SNC",186467,2025-09-30,-24319
RHUMBLINE ADVISERS,182659,2025-09-30,-410
ROYAL BANK OF CANADA,182633,2025-09-30,-97522
"NATIXIS ADVISORS, L.P.",179771,2025-09-30,12575
RAYMOND JAMES FINANCIAL INC,175333,2025-09-30,59242
MACQUARIE GROUP LTD,166735,2025-09-30,82380
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,162705,2025-09-30,-276
National Pension Service,149629,2025-09-30,4166
Rockefeller Capital Management L.P.,142163,2025-09-30,-13603
RENAISSANCE TECHNOLOGIES LLC,140820,2025-09-30,-170937
CITIGROUP INC,139826,2025-09-30,36350
CIDEL ASSET MANAGEMENT INC,135738,2025-09-30,10
GREAT WEST LIFE ASSURANCE CO /CAN/,133442,2025-09-30,-3838
AQR CAPITAL MANAGEMENT LLC,133355,2025-09-30,-71842
FIRST TRUST ADVISORS LP,125979,2025-09-30,111173
Alberta Investment Management Corp,125000,2025-09-30,0
BANK OF MONTREAL /CAN/,124336,2025-09-30,-36849
PRINCIPAL FINANCIAL GROUP INC,114343,2025-09-30,-4840
THOMPSON SIEGEL & WALMSLEY LLC,109003,2025-09-30,-14432
NEW SOUTH CAPITAL MANAGEMENT INC,104748,2025-09-30,-2060
CANADA PENSION PLAN INVESTMENT BOARD,104011,2025-09-30,-3893
ENVESTNET ASSET MANAGEMENT INC,101427,2025-09-30,-24569
BAMCO INC /NY/,96358,2025-09-30,0
"Gotham Asset Management, LLC",95232,2025-09-30,20976
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,91148,2025-09-30,-5041
Perpetual Ltd,88383,2025-09-30,-14364
DEROY & DEVEREAUX PRIVATE INVESTMENT COUNSEL INC,85510,2025-09-30,-988
Rivermont Capital Management LP,85108,2025-09-30,850
WELLS FARGO & COMPANY/MN,80557,2025-09-30,24125
AVIVA PLC,78701,2025-09-30,4454
AMERIPRISE FINANCIAL INC,78236,2025-09-30,-20180
APG Asset Management N.V.,76600,2025-09-30,-800
SCHRODER INVESTMENT MANAGEMENT GROUP,74582,2025-09-30,3605
abrdn plc,72907,2025-09-30,-3396
Universal- Beteiligungs- und Servicegesellschaft mbH,72720,2025-09-30,-73
"FEDERATED HERMES, INC.",72690,2025-09-30,-31680
DANSKE BANK A/S,71029,2025-09-30,8903
HSBC HOLDINGS PLC,70913,2025-09-30,-2305
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,70372,2025-09-30,-1485
NEW YORK STATE COMMON RETIREMENT FUND,69420,2025-09-30,7600
WESTPORT ASSET MANAGEMENT INC,69234,2025-09-30,0
CI INVESTMENTS INC.,69131,2025-09-30,-3782
MILLENNIUM MANAGEMENT LLC,68750,2025-09-30,25137
DIAMOND HILL CAPITAL MANAGEMENT INC,68546,2025-09-30,-13079
AMF Tjanstepension AB,67819,2025-09-30,0
Aryeh Capital Management Ltd.,67265,2025-09-30,0
FRANKLIN RESOURCES INC,67234,2025-09-30,-28051
BROWN ADVISORY INC,66035,2025-09-30,13255
Gillson Capital LP,61300,2025-09-30,61300
Pictet Asset Management Holding SA,60249,2025-09-30,-19112
BNP Paribas Asset Management Holding S.A.,59094,2025-09-30,5188
